"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"1","2017-6101",6101,0,"6101_84_9",9,"I","7A",3001,3035,NA,1,"drain end",455,"","","","115.7","3","20.4",NA,NA,NA,NA
"2","2017-6101",6101,0,"6101_206_12",12,"I","1C",3001,3035,NA,1,"",100,"","","","115.7","3","20.4",NA,NA,NA,NA
"3","2017-6101",6101,0,"6101_415_26",26,"I","1C",3001,3035,NA,1,"",307,"","","","115.7","3","20.4",NA,NA,NA,NA
"4","2017-6102",6102,0,"6102_18_9",9,"I","8A",3004,3219,NA,2,"drain end",90,"","","","110.4","4","15.4",NA,NA,NA,NA
"5","2017-6102",6102,0,"6102_236_12",12,"I","2C",3004,3219,NA,2,"",131,"","","","110.4","4","15.4",NA,NA,NA,NA
"6","2017-6102",6102,0,"6102_439_26",26,"I","2C",3004,3219,NA,2,"",333,"","","","110.4","4","15.4","5/1/18 14:28","6.08",35,"212.8"
"7","2017-6103",6103,1,"6103_46_9",9,"I","9A",3007,3119,NA,1,"drain end",356,"3007/3291","","","83.5","3","10.8",NA,NA,NA,NA
"8","2017-6103",6103,1,"6103_215_12",12,"I","1C",3007,3119,NA,1,"",109,"3007/3291","","","83.5","3","10.8",NA,NA,NA,NA
"9","2017-6103",6103,1,"6103_409_26",26,"I","1C",3007,3119,NA,1,"",300,"","","","83.5","3","10.8",NA,NA,NA,NA
"10","2017-6104",6104,0,"6104_41_9",9,"I","9A",3008,3472,NA,3,"drain end",301,"","","","81.6","3","11",NA,NA,NA,NA
"11","2017-6104",6104,0,"6104_259_12",12,"I","3C",3008,3472,NA,3,"",156,"","","","81.6","3","11",NA,NA,NA,NA
"12","2017-6104",6104,0,"6104_458_26",26,"I","3C",3008,3472,NA,3,"",354,"","","","81.6","3","11",NA,NA,NA,NA
"13","2017-6105",6105,1,"6105_43_9",9,"I","9A",3019,3504,NA,2,"drain end",323,"","","","119.8","3","19.2",NA,NA,NA,NA
"14","2017-6105",6105,1,"6105_234_12",12,"I","2C",3019,3504,NA,2,"",129,"","","","119.8","3","19.2",NA,NA,NA,NA
"15","2017-6105",6105,1,"6105_438_26",26,"I","2C",3019,3504,NA,2,"",332,"","","","119.8","3","19.2",NA,NA,NA,NA
"16","2017-6106",6106,0,"6106_5_9",9,"M","8A",3020,3509,NA,3,"drain end",400,"","","","113.8","3","20.5",NA,NA,NA,NA
"17","2017-6106",6106,0,"6106_241_12",12,"M","3C",3020,3509,NA,3,"",137,"","","","113.8","3","20.5",NA,NA,NA,NA
"18","2017-6106",6106,0,"6106_450_26",26,"M","3C",3020,3509,NA,3,"",346,"","","","113.8","3","20.5","4/9/18 13:19","1.8",35,"63"
"19","2017-6107",6107,0,"6107_115_9",9,"M","3C",3024,3597,NA,7,"drain end",19,"","","","132.9","4","29.7",NA,NA,NA,NA
"20","2017-6107",6107,0,"6107_350_12",12,"M","7A",3024,3597,NA,7,"",255,"","","","132.9","4","29.7",NA,NA,NA,NA
"21","2017-6107",6107,0,"6107_471_26",26,"M","7A",3024,3597,NA,7,"",369,"","","","132.9","4","29.7",NA,NA,NA,NA
"22","2017-6108",6108,1,"6108_6_9",9,"I","8A",3032,3442,NA,3,"drain end",428,"","","","131.9","3","19.6","4/4/18 13:58","2.75",35,"96.25"
"23","2017-6108",6108,1,"6108_255_12",12,"I","3C",3032,3442,NA,3,"",152,"","","","131.9","3","19.6","5/24/18 13:51","2.46",35,"86.1"
"24","2017-6108",6108,1,"6108_455_26",26,"I","3C",3032,3442,NA,3,"",351,"","","","131.9","3","19.6",NA,NA,NA,NA
"25","2017-6109",6109,0,"6109_31_9",9,"I","8A",3034,3217,NA,7,"drain end",211,"","","","128.8","3","18.9",NA,NA,NA,NA
"26","2017-6109",6109,0,"6109_351_12",12,"I","7A",3034,3217,NA,7,"",256,"","","","128.8","3","18.9",NA,NA,NA,NA
"27","2017-6109",6109,0,"6109_480_26",26,"I","7A",3034,3217,NA,7,"",379,"","","","128.8","3","18.9","5/23/18 14:55","3.94",35,"137.9"
