"","FRP","Uniq_ID","trtmnt_tank","sample_day","infection_status","maturity","tube_number","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"1",6107,"6107_115_9","ambient",9,0,"M","115",NA,NA,NA,NA
"2",6109,"6109_31_9","ambient",9,0,"I","31",NA,NA,NA,NA
"3",6110,"6110_135_9","ambient",9,0,"I","135",NA,NA,NA,NA
"4",6111,"6111_90_9","ambient",9,1,"I","90",NA,NA,NA,NA
"5",6112,"6112_28_9","ambient",9,0,"I","28",NA,NA,NA,NA
"6",6114,"6114_142_9","ambient",9,1,"I","142",NA,NA,NA,NA
"7",6115,"6115_33_9","ambient",9,1,"I","33",NA,NA,NA,NA
"8",6121,"6121_15_9","ambient",9,1,"I","15",NA,NA,NA,NA
"9",6122,"6122_133_9","ambient",9,1,"I","133",NA,NA,NA,NA
"10",6123,"6123_82_9","ambient",9,0,"I","82",NA,NA,NA,NA
"11",6124,"6124_75_9","ambient",9,0,"M","75",NA,NA,NA,NA
"12",6125,"6125_144_9","ambient",9,1,"I","144",NA,NA,NA,NA
"13",6127,"6127_37_9","ambient",9,0,"I","37","5/1/18 17:58","3.38",35,"118.3"
"14",6130,"6130_47_9","ambient",9,0,"I","47","4/9/18 13:18","7.32",35,"256.2"
"15",6131,"6131_38_9","ambient",9,0,"I","38","4/9/18 13:19","0",35,"0"
"16",6134,"6134_77_9","ambient",9,1,"I","77","3/26/18 13:25","1.71",35,"59.85"
"17",6135,"6135_4_9","ambient",9,1,"M","4","4/6/18 13:38","3.52",35,"123.2"
"18",6136,"6136_91_9","ambient",9,0,"M","91",NA,NA,NA,NA
"19",6137,"6137_81_9","ambient",9,1,"I","81",NA,NA,NA,NA
"20",6139,"6139_104_9","ambient",9,3,"M","104",NA,NA,NA,NA
"21",6142,"6142_65_9","ambient",9,0,"I","65","3/27/18 15:08","0",35,"0"
"22",6143,"6143_10_9","ambient",9,0,"M","10",NA,NA,NA,NA
"23",6144,"6144_14_9","ambient",9,1,"I","14","4/6/18 13:38","4.92",35,"172.2"
"24",6145,"6145_59_9","ambient",9,1,"I","59","4/6/18 14:03","2.34",35,"81.9"
"25",6146,"6146_12_9","ambient",9,0,"I","12","4/9/18 13:37","0",35,"0"
"26",6150,"6150_119_9","ambient",9,0,"M","119",NA,NA,NA,NA
"27",6152,"6152_32_9","ambient",9,0,"M","32",NA,NA,NA,NA
"28",6155,"6155_66_9","ambient",9,1,"I","66","4/6/18 14:03","0",35,"0"
"29",6158,"6158_101_9","ambient",9,1,"I","101",NA,NA,NA,NA
"30",6159,"6159_26_9","ambient",9,1,"I","26","4/6/18 14:02","1.38",35,"48.3"
"31",6161,"6161_53_9","ambient",9,0,"M","53",NA,NA,NA,NA
"32",6165,"6165_55_9","ambient",9,0,"I","55","3/28/18 14:16","1.16",35,"40.6"
"33",6166,"6166_21_9","ambient",9,0,"I","21","4/9/18 13:37","1.72",35,"60.2"
"34",6168,"6168_27_9","ambient",9,1,"I","27",NA,NA,NA,NA
"35",6169,"6169_57_9","ambient",9,1,"I","57",NA,NA,NA,NA
"36",6170,"6170_70_9","ambient",9,1,"I","70",NA,NA,NA,NA
"37",6176,"6176_48_9","ambient",9,0,"M","48",NA,NA,NA,NA
"38",6179,"6179_34_9","ambient",9,0,"M","34",NA,NA,NA,NA
"39",6181,"6181_175_9","ambient",9,0,"I","175","4/28/18 15:42","1.64",35,"57.4"
"40",6182,"6182_137_9","ambient",9,1,"I","137",NA,NA,NA,NA
"41",6183,"6183_141_9","ambient",9,1,"I","141","5/1/18 17:58","Out of range",35,"#VALUE!"
"42",6184,"6184_148_9","ambient",9,1,"I","148","5/1/18 14:27","5.08",35,"177.8"
"43",6185,"6185_145_9","ambient",9,0,"I","145","4/28/18 15:42","4.4",35,"154"
"44",6186,"6186_171_9","ambient",9,0,"I","171","4/28/18 15:42","3.41",35,"119.35"
"45",6192,"6192_178_9","ambient",9,1,"I","178","5/1/18 14:27","26",35,"910"
"46",6193,"6193_174_9","ambient",9,1,"I","174","5/1/18 14:28","3.36",35,"117.6"
"47",6195,"6195_150_9","ambient",9,1,"I","150","5/1/18 17:59","5.04",35,"176.4"
"48",6201,"6201_163_9","ambient",9,1,"I","163",NA,NA,NA,NA
"49",6202,"6202_109_9","ambient",9,1,"I","109",NA,NA,NA,NA
"50",6205,"6205_121_9","ambient",9,0,"I","121",NA,NA,NA,NA
"51",6206,"6206_103_9","ambient",9,1,"I","103",NA,NA,NA,NA
"52",6211,"6211_118_9","ambient",9,1,"I","118",NA,NA,NA,NA
"53",6212,"6212_132_9","ambient",9,1,"I","132",NA,NA,NA,NA
"54",6213,"6213_108_9","ambient",9,0,"I","108",NA,NA,NA,NA
"55",6214,"6214_107_9","ambient",9,1,"I","107","5/2/18 13:07","2.59",35,"90.65"
"56",6241,"6241_62_9","ambient",9,1,"I","62",NA,NA,NA,NA
"57",6252,"6252_99_9","ambient",9,3,"M","99",NA,NA,NA,NA
"58",6272,"6272_111_9","ambient",9,0,"I","111",NA,NA,NA,NA
"59",6276,"6276_50_9","ambient",9,0,"I","50",NA,NA,NA,NA
"60",6101,"6101_84_9","cold",9,0,"I","84",NA,NA,NA,NA
"61",6102,"6102_18_9","cold",9,0,"I","18",NA,NA,NA,NA
"62",6103,"6103_46_9","cold",9,1,"I","46","4/3/18 15:08","5.04",35,"176.4"
"63",6104,"6104_41_9","cold",9,0,"I","41",NA,NA,NA,NA
"64",6105,"6105_43_9","cold",9,1,"I","43",NA,NA,NA,NA
"65",6106,"6106_5_9","cold",9,0,"M","5",NA,NA,NA,NA
"66",6108,"6108_6_9","cold",9,1,"I","6",NA,NA,NA,NA
"67",6113,"6113_78_9","cold",9,0,"I","78","4/24/18 14:51","2.19",35,"76.65"
"68",6116,"6116_76_9","cold",9,1,"I","76",NA,NA,NA,NA
"69",6117,"6117_42_9","cold",9,0,"I","42","4/24/18 14:51","0",35,"0"
"70",6118,"6118_87_9","cold",9,1,"I","87",NA,NA,NA,NA
"71",6119,"6119_153_9","cold",9,0,"I","153","4/10/18 17:22","2.02",35,"70.7"
"72",6120,"6120_165_9","cold",9,1,"I","165",NA,NA,NA,NA
"73",6126,"6126_79_9","cold",9,1,"I","79",NA,NA,NA,NA
"74",6128,"6128_112_9","cold",9,1,"I","112",NA,NA,NA,NA
"75",6132,"6132_88_9","cold",9,0,"I","88","4/10/18 14:47","2.81",35,"98.35"
"76",6133,"6133_36_9","cold",9,0,"I","36","4/10/18 14:47","4.16",35,"145.6"
"77",6138,"6138_80_9","cold",9,0,"I","80","4/24/18 14:32","2.66",35,"93.1"
"78",6140,"6140_8_9","cold",9,1,"I","8",NA,NA,NA,NA
"79",6141,"6141_123_9","cold",9,1,"I","123",NA,NA,NA,NA
"80",6147,"6147_30_9","cold",9,0,"I","30","4/29/18 17:58","0",35,"0"
"81",6148,"6148_56_9","cold",9,1,"I","56","2/28/18 17:59","0.896",35,"31.36"
"82",6149,"6149_64_9","cold",9,1,"I","64",NA,NA,NA,NA
"83",6151,"6151_19_9","cold",9,1,"I","19",NA,NA,NA,NA
"84",6153,"6153_11_9","cold",9,0,"M","11",NA,NA,NA,NA
"85",6154,"6154_68_9","cold",9,0,"I","68","4/29/18 17:58","2.1",35,"73.5"
"86",6156,"6156_24_9","cold",9,0,"I","24",NA,NA,NA,NA
"87",6157,"6157_169_9","cold",9,0,"M","169",NA,NA,NA,NA
"88",6160,"6160_7_9","cold",9,0,"M","7",NA,NA,NA,NA
"89",6162,"6162_61_9","cold",9,1,"I","61",NA,NA,NA,NA
"90",6163,"6163_130_9","cold",9,1,"I","130",NA,NA,NA,NA
"91",6164,"6164_71_9","cold",9,1,"I","71",NA,NA,NA,NA
"92",6167,"6167_45_9","cold",9,0,"I","45","4/29/18 17:58","5.4",35,"189"
"93",6171,"6171_73_9","cold",9,0,"I","73","5/2/18 13:08","5.28",35,"184.8"
"94",6172,"6172_60,_9","cold",9,0,"M","60, 100",NA,NA,NA,NA
"95",6173,"6173_63_9","cold",9,1,"I","63",NA,NA,NA,NA
"96",6174,"6174_20_9","cold",9,1,"I","20",NA,NA,NA,NA
"97",6175,"6175_67_9","cold",9,0,"I","67",NA,NA,NA,NA
"98",6177,"6177_54_9","cold",9,1,"I","54",NA,NA,NA,NA
"99",6178,"6178_124_9","cold",9,0,"M","124",NA,NA,NA,NA
"100",6187,"6187_158_9","cold",9,1,"I","158",NA,NA,NA,NA
"101",6188,"6188_172_9","cold",9,1,"I","172",NA,NA,NA,NA
"102",6189,"6189_176_9","cold",9,0,"I","176","2/28/18 18:00","Out of range",35,"#VALUE!"
"103",6190,"6190_101_9","cold",9,3,"M","101",NA,NA,NA,NA
"104",6191,"6191_95_9","cold",9,0,"I","95",NA,NA,NA,NA
"105",6194,"6194_98_9","cold",9,0,"M","98",NA,NA,NA,NA
"106",6196,"6196_170_9","cold",9,1,"I","170",NA,NA,NA,NA
"107",6197,"6197_161_9","cold",9,0,"M","161",NA,NA,NA,NA
"108",6198,"6198_154_9","cold",9,1,"I","154","4/4/18 13:58","1.32",35,"46.2"
"109",6199,"6199_151_9","cold",9,1,"I","151",NA,NA,NA,NA
"110",6200,"6200_94_9","cold",9,3,"M","94",NA,NA,NA,NA
"111",6203,"6203_113_9","cold",9,0,"M","113",NA,NA,NA,NA
"112",6204,"6204_114_9","cold",9,3,"M","114",NA,NA,NA,NA
"113",6207,"6207_128_9","cold",9,1,"I","128","4/23/18 18:01","5.32",35,"186.2"
"114",6208,"6208_106_9","cold",9,1,"I","106","4/23/18 18:02","3.1",35,"108.5"
"115",6209,"6209_125_9","cold",9,1,"I","125","4/23/18 17:40","5.88",35,"205.8"
"116",6215,"6215_23_9","cold",9,1,"I","23","4/23/18 17:41","1.16",35,"40.6"
"117",6277,"6277_177_9","cold",9,0,"I","177",NA,NA,NA,NA
"118",6278,"6278_147_9","cold",9,1,"I","147",NA,NA,NA,NA
"119",6279,"6279_13_9","cold",9,1,"I","13",NA,NA,NA,NA
"120",6129,"6129_86_9","warm",9,1,"I","86","4/20/18 14:18","3.09",35,"108.15"
"121",6180,"6180_149_9","warm",9,0,"I","149","4/20/18 14:30","2.51",35,"87.85"
"122",6210,"6210_120_9","warm",9,1,"I","120","4/20/18 14:18","0",35,"0"
"123",6216,"6216_40_9","warm",9,0,"I","40","5/23/18 14:54","1.75",35,"61.25"
"124",6217,"6217_129_9","warm",9,0,"I","129",NA,NA,NA,NA
"125",6218,"6218_93_9","warm",9,3,"I","93",NA,NA,NA,NA
"126",6219,"6219_116_9","warm",9,1,"I","116","5/24/18 13:51","4.2",35,"147"
"127",6220,"6220_162_9","warm",9,1,"I","162","5/24/18 13:51","2.88",35,"100.8"
"128",6221,"6221_16_9","warm",9,1,"I","16","5/24/18 17:46","10.2",35,"357"
"129",6222,"6222_1_9","warm",9,0,"M","1",NA,NA,NA,NA
"130",6223,"6223_44_9","warm",9,0,"M","44",NA,NA,NA,NA
"131",6224,"6224_74_9","warm",9,1,"I","74","5/24/18 17:46","4.6",35,"161"
"132",6225,"6225_92_9","warm",9,1,"I","92","5/24/18 17:46","6.56",35,"229.6"
"133",6226,"6226_85_9","warm",9,0,"I","85","5/23/18 14:55","10.8",35,"378"
"134",6227,"6227_83_9","warm",9,1,"I","83","5/24/18 17:47","3.44",35,"120.4"
"135",6228,"6228_29_9","warm",9,0,"I","29",NA,NA,NA,NA
"136",6229,"6229_89_9","warm",9,0,"I","89","5/23/18 14:55","4.96",35,"173.6"
"137",6230,"6230_22_9","warm",9,0,"M","22",NA,NA,NA,NA
"138",6231,"6231_102_9","warm",9,1,"I","102",NA,NA,NA,NA
"139",6232,"6232_52_9","warm",9,0,"M","52",NA,NA,NA,NA
"140",6233,"6233_117_9","warm",9,1,"I","117",NA,NA,NA,NA
"141",6234,"6234_2_9","warm",9,0,"I","2",NA,NA,NA,NA
"142",6235,"6235_35_9","warm",9,0,"I","35",NA,NA,NA,NA
"143",6236,"6236_157_9","warm",9,0,"I","157","5/23/18 14:55","7.6",35,"266"
"144",6237,"6237_17_9","warm",9,1,"I","17",NA,NA,NA,NA
"145",6238,"6238_9_9","warm",9,0,"M","9",NA,NA,NA,NA
"146",6239,"6239_166_9","warm",9,1,"I","166",NA,NA,NA,NA
"147",6240,"6240_134_9","warm",9,1,"I","134",NA,NA,NA,NA
"148",6242,"6242_39_9","warm",9,0,"M","39",NA,NA,NA,NA
"149",6243,"6243_173_9","warm",9,1,"I","173",NA,NA,NA,NA
"150",6244,"6244_58_9","warm",9,1,"I","58",NA,NA,NA,NA
"151",6245,"6245_126_9","warm",9,1,"I","126",NA,NA,NA,NA
"152",6246,"6246_3_9","warm",9,0,"I","3","5/24/18 13:50","7.2",35,"252"
"153",6247,"6247_152_9","warm",9,0,"I","152","5/24/18 13:51","2.46",35,"86.1"
"154",6248,"6248_49_9","warm",9,0,"I","49",NA,NA,NA,NA
"155",6249,"6249_96_9","warm",9,1,"I","96",NA,NA,NA,NA
"156",6250,"6250_72_9","warm",9,1,"I","72",NA,NA,NA,NA
"157",6251,"6251_167_9","warm",9,1,"I","167",NA,NA,NA,NA
"158",6253,"6253_25_9","warm",9,0,"I","25",NA,NA,NA,NA
"159",6254,"6254_69_9","warm",9,0,"I","69",NA,NA,NA,NA
"160",6255,"6255_143_9","warm",9,1,"I","143",NA,NA,NA,NA
"161",6256,"6256_146_9","warm",9,1,"I","146",NA,NA,NA,NA
"162",6257,"6257_138_9","warm",9,1,"I","138",NA,NA,NA,NA
"163",6258,"6258_140_9","warm",9,3,"M","140",NA,NA,NA,NA
"164",6259,"6259_139_9","warm",9,0,"M","139",NA,NA,NA,NA
"165",6260,"6260_136_9","warm",9,0,"M","136",NA,NA,NA,NA
"166",6261,"6261_164_9","warm",9,1,"I","164",NA,NA,NA,NA
"167",6262,"6262_168_9","warm",9,1,"I","168",NA,NA,NA,NA
"168",6263,"6263_179_9","warm",9,1,"I","179",NA,NA,NA,NA
"169",6264,"6264_180_9","warm",9,0,"I","180",NA,NA,NA,NA
"170",6265,"6265_155_9","warm",9,0,"I","155",NA,NA,NA,NA
"171",6266,"6266_156_9","warm",9,1,"I","156",NA,NA,NA,NA
"172",6267,"6267_159_9","warm",9,1,"I","159",NA,NA,NA,NA
"173",6268,"6268_97_9","warm",9,0,"I","97",NA,NA,NA,NA
"174",6269,"6269_160_9","warm",9,1,"I","160",NA,NA,NA,NA
"175",6270,"6270_131_9","warm",9,0,"M","131",NA,NA,NA,NA
"176",6271,"6271_105_9","warm",9,0,"M","105",NA,NA,NA,NA
"177",6273,"6273_127_9","warm",9,1,"I","127",NA,NA,NA,NA
"178",6274,"6274_122_9","warm",9,1,"I","122",NA,NA,NA,NA
"179",6275,"6275_110_9","warm",9,3,"M","110",NA,NA,NA,NA
"180",6107,"6107_350_12","ambient",12,0,"M","350",NA,NA,NA,NA
"181",6109,"6109_351_12","ambient",12,0,"I","351",NA,NA,NA,NA
"182",6110,"6110_331_12","ambient",12,0,"I","331",NA,NA,NA,NA
"183",6111,"6111_356_12","ambient",12,1,"I","356",NA,NA,NA,NA
"184",6112,"6112_317_12","ambient",12,0,"I","317",NA,NA,NA,NA
"185",6114,"6114_326_12","ambient",12,1,"I","326",NA,NA,NA,NA
"186",6115,"6115_307_12","ambient",12,1,"I","307",NA,NA,NA,NA
"187",6121,"6121_352_12","ambient",12,1,"I","352",NA,NA,NA,NA
"188",6122,"6122_325_12","ambient",12,1,"I","325",NA,NA,NA,NA
"189",6123,"6123_345_12","ambient",12,0,"I","345",NA,NA,NA,NA
"190",6124,"6124_347_12","ambient",12,0,"M","347",NA,NA,NA,NA
"191",6125,"6125_303_12","ambient",12,1,"I","303",NA,NA,NA,NA
"192",6127,"6127_335_12","ambient",12,0,"I","335","5/2/18 13:08","3.46",35,"121.1"
"193",6130,"6130_339_12","ambient",12,0,"I","339","4/9/18 13:19","0.88",35,"30.8"
"194",6131,"6131_314_12","ambient",12,0,"I","314","4/9/18 13:19","1.42",35,"49.7"
