"","Uniq_ID","Test_Date","Original_sample_conc_ng.ul","extraction_method"
"1","6279_13_9","2019/04/30 14:34:06","8.29","Zymo_microprep"
"2","6102_18_9","2019/04/30 14:34:12","4.46","Zymo_microprep"
"3","6112_28_9","2019/04/30 14:34:19","20.4","Zymo_microprep"
"4","6115_33_9","2019/04/30 14:34:26","21","Zymo_microprep"
"5","6124_75_9","2019/04/30 14:34:33","32.9","Zymo_microprep"
"6","6123_82_9","2019/04/30 14:34:39","Out of range","Zymo_microprep"
"7","6101_84_9","2019/04/30 14:34:49","34.7","Zymo_microprep"
"8","6194_98_9","2019/04/30 14:34:56","13.3","Zymo_microprep"
"9","6139_104_9","2019/04/30 14:35:03","29.1","Zymo_microprep"
"10","6271_105_9","2019/04/30 14:35:10","42.6","Zymo_microprep"
"11","6203_113_9","2019/04/30 14:35:16","38.1","Zymo_microprep"
"12","6107_115_9","2019/04/30 14:35:23","26.6","Zymo_microprep"
"13","6211_118_9","2019/04/30 14:35:29","51","Zymo_microprep"
"14","6274_122_9","2019/04/30 14:35:35","17.8","Zymo_microprep"
"15","6273_127_9","2019/04/30 14:35:42","72","Zymo_microprep"
"16","6217_129_9","2019/04/30 14:35:49","16.7","Zymo_microprep"
"17","6270_131_9","2019/04/30 14:35:55","45.4","Zymo_microprep"
"18","6212_132_9","2019/04/30 14:36:01","11.3","Zymo_microprep"
"19","6278_147_9","2019/04/30 14:36:10","15.3","Zymo_microprep"
"20","6267_159_9","2019/04/30 14:36:16","20.1","Zymo_microprep"
"21","6269_160_9","2019/04/30 14:36:23","24.6","Zymo_microprep"
"22","6197_161_9","2019/04/30 14:36:29","16.9","Zymo_microprep"
"23","6101_206_12","2019/04/30 14:36:36","19.9","Zymo_microprep"
"24","6279_219_12","2019/04/30 14:36:43","19.3","Zymo_microprep"
"25","6203_222_12","2019/04/30 14:36:52","30.6","Zymo_microprep"
"26","6194_235_12","2019/04/30 14:36:58","13.7","Zymo_microprep"
"27","6197_244_12","2019/04/30 14:37:05","23.9","Zymo_microprep"
"28","6108_255_12","2019/04/30 14:37:11","16.6","Zymo_microprep"
"29","6273_280_12","2019/04/30 14:37:17","17.9","Zymo_microprep"
"30","6267_288_12","2019/04/30 14:37:24","24.8","Zymo_microprep"
"31","6271_295_12","2019/04/30 14:37:31","7.54","Zymo_microprep"
"32","6252_330_12","2019/04/30 14:37:38","11","Zymo_microprep"
"33","6110_331_12","2019/04/30 14:37:44","21.9","Zymo_microprep"
"34","6139_332_12","2019/04/30 14:37:51","16","Zymo_microprep"
"35","6212_334_12","2019/04/30 14:37:57","15.6","Zymo_microprep"
"36","6123_345_12","2019/04/30 14:38:04","19.1","Zymo_microprep"
"37","6124_347_12","2019/04/30 14:38:11","18.8","Zymo_microprep"
"38","6107_350_12","2019/04/30 14:38:17","20.4","Zymo_microprep"
"39","6109_351_12","2019/04/30 14:38:23","13.6","Zymo_microprep"
"40","6111_356_12","2019/04/30 14:38:30","21.3","Zymo_microprep"
"41","6269_364_12","2019/04/30 14:38:36","21.1","Zymo_microprep"
"42","6274_367_12","2019/04/30 14:38:43","24.3","Zymo_microprep"
"43","6268_369_12","2019/04/30 14:38:49","31.5","Zymo_microprep"
"44","6210_401_26","2019/04/30 14:38:55","5.27","Zymo_microprep"
"45","6180_402_26","2019/04/30 14:39:01","10.3","Zymo_microprep"
"46","6129_403_26","2019/04/30 14:39:08","Out of range","Zymo_microprep"
"47","6103_409_26","2019/04/30 14:39:16","12.2","Zymo_microprep"
"48","6279_411_26","2019/04/30 14:39:22","11.3","Zymo_microprep"
"49","6278_413_26","2019/04/30 14:39:30","6.38","Zymo_microprep"
"50","6101_415_26","2019/04/30 14:39:36","12.3","Zymo_microprep"
"51","6203_425_26","2019/04/30 14:39:43","29.9","Zymo_microprep"
"52","6194_432_26","2019/04/30 14:39:49","26.7","Zymo_microprep"
"53","6102_439_26","2019/04/30 14:39:56","21.6","Zymo_microprep"
"54","6197_449_26","2019/04/30 14:40:02","19.8","Zymo_microprep"
"55","6108_455_26","2019/04/30 14:40:08","10.2","Zymo_microprep"
"56","6215_457_26","2019/04/30 14:40:14","10","Zymo_microprep"
"57","6107_471_26","2019/04/30 14:40:21","19.9","Zymo_microprep"
"58","6123_473_26","2019/04/30 14:40:27","9.91","Zymo_microprep"
"59","6109_480_26","2019/04/30 14:40:34","19.8","Zymo_microprep"
"60","6211_481_26","2019/04/30 14:40:41","17.9","Zymo_microprep"
"61","6114_484_26","2019/04/30 14:40:47","23.8","Zymo_microprep"
"62","6212_485_26","2019/04/30 14:40:54","7.61","Zymo_microprep"
"63","6110_488_26","2019/04/30 14:41:01","23.4","Zymo_microprep"
"64","6139_493_26","2019/04/30 14:41:10","4.02","Zymo_microprep"
"65","6112_499_26","2019/04/30 14:41:16","19.5","Zymo_microprep"
"66","6214_504_26","2019/04/30 14:41:23","13.2","Zymo_microprep"
