X1,FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube9,tube12,tube26,Avg_startq_day01,Avg_startq_day26,d0_infection_status,temperature_treatment,RNAday9_ng/ul,sample_vol(ul)_d9,totalRNA_d9_ng,Pool_d9,RNAday12_ng/ul,sample_vol(ul)_d12,totalRNA_d12_ng,Pool_d12,RNAday26_ng/ul,sample_vol(ul)_d26,totalRNA_d26_ng,Pool_d26,PICK,,,,,,,,,,,
30,2017-6130,6130,0,I,111.4,3,11.8,8A,A,3134,3208,8,drain end,47,339,498,1,138,0,ambient,7.32,15,109.8,1,0.88,45,39.6,3,1.8,45,81,9,x,,,,,,,,,,,
65,2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,55,360,469,5,73,0,ambient,1.16,15,17.4,1,1.55,45,69.75,3,5.16,45,232.2,9,x,,,,,,,,,,,
66,2017-6166,6166,0,I,91.8,3,11.3,8A,A,3378,3534,8,drain end,21,349,496,0,135,0,ambient,1.72,15,25.8,1,5.56,45,250.2,3,5.88,45,264.6,9,X,,,,,,,,,,,
81,2017-6181,6181,0,I,133.4,3,20.4,7A,A,3616,3846,7,drain end,175,355,470,1,125,0,ambient,1.64,15,24.6,1,3.32,45,149.4,3,5.28,45,237.6,9,x,,,,,,,,,,,
85,2017-6185,6185,0,I,124.8,3,21.8,8A,A,3630,3824,8,drain end,145,336,487,7,180,0,ambient,4.4,15,66,1,2.62,45,117.9,3,3.51,45,157.95,9,,,,,,,,,,,,
86,2017-6186,6186,0,I,129.4,3,20.8,9A,A,3638,3843,9,drain end,171,306,510,0,135,0,ambient,3.41,15,51.15,1,3.03,45,136.35,3,1.62,45,72.9,9,x,,,,,,,,,,,
27,2017-6127,6127,0,I,108.4,3,19.3,8A,A,3110,3255,8,drain end,37,335,497,200,80,0,ambient,NA,15,,1,3.46,45,155.7,3,4.36,45,196.2,9,,,,,,,,,,,,
31,2017-6131,6131,0,I,107.4,3,19.1,9A,A,3147,3563,9,drain end,38,314,507,3,1358,0,ambient,NA,15,,1,1.42,45,63.9,3,0.88,45,39.6,9,,,,,,,,,,,,
42,2017-6142,6142,0,I,96.5,3,14.3,7A,A,3203,3230,7,drain end,65,346,474,3250,2000,0,ambient,NA,15,,1,1.8,45,81,3,NA,45,#VALUE!,9,,,,,,,,,,,,
46,2017-6146,6146,0,I,106.1,4,19,9A,A,3237,3399,9,drain end,12,309,502,NA,518,0,ambient,NA,15,,1,4,45,180,3,2.18,45,98.1,9,,,,,,,,,,,,
13,2017-6113,6113,0,I,126.5,3,19.1,1C,C,3062,3121,1,drain end,78,214,419,20,25,0,cold,2.19,15,32.85,1,3.55,45,159.75,4,5.64,45,253.8,10,x,,,,,,,,,,,
