Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),SQ Mean,SQ Std. Dev,FRP#,Tube,time
26.08,26.25,0.231,3.95E+03,3.56E+03,5.62E+02,2017-6210,401,late
26.41,26.25,0.231,3.16E+03,3.56E+03,5.62E+02,2017-6210,401,late
30.94,31.07,0.184,1.41E+02,1.29E+02,1.63E+01,2017-6180,402,late
31.2,31.07,0.184,1.18E+02,1.29E+02,1.63E+01,2017-6180,402,late
24.97,25.11,0.199,8.52E+03,7.77E+03,1.06E+03,2017-6129,403,late
25.25,25.11,0.199,7.02E+03,7.77E+03,1.06E+03,2017-6129,403,late
32.08,32.3,0.304,6.41E+01,5.59E+01,1.16E+01,2017-6153,404,late
32.51,32.3,0.304,4.77E+01,5.59E+01,1.16E+01,2017-6153,404,late
30.01,30.12,0.155,2.66E+02,2.47E+02,2.62E+01,2017-6148,405,late
30.23,30.12,0.155,2.29E+02,2.47E+02,2.62E+01,2017-6148,405,late
30.63,30.45,0.257,1.02E+02,1.17E+02,2.15E+01,2017-6132,406,late
30.26,30.45,0.257,1.32E+02,1.17E+02,2.15E+01,2017-6132,406,late
27.82,27.89,0.102,1.20E+03,1.15E+03,8.04E+01,2017-6162,407,late
27.96,27.89,0.102,1.09E+03,1.15E+03,8.04E+01,2017-6162,407,late
29.55,29.62,0.106,3.66E+02,3.48E+02,2.52E+01,2017-6196,408,late
29.7,29.62,0.106,3.30E+02,3.48E+02,2.52E+01,2017-6196,408,late
30.03,29.91,0.178,1.76E+02,1.93E+02,2.45E+01,2017-6103,409,late
29.78,29.91,0.178,2.10E+02,1.93E+02,2.45E+01,2017-6103,409,late
27.64,27.99,0.485,9.76E+02,7.86E+02,2.68E+02,2017-6178,410,late
28.33,27.99,0.485,5.97E+02,7.86E+02,2.68E+02,2017-6178,410,late
28.41,28.4,0.017,5.00E+02,5.04E+02,5.96E+00,2017-6178,410,late
28.39,28.4,0.017,5.09E+02,5.04E+02,5.96E+00,2017-6178,410,late
28.61,28.44,0.242,4.88E+02,5.55E+02,9.60E+01,2017-6279,411,late
28.27,28.44,0.242,6.23E+02,5.55E+02,9.60E+01,2017-6279,411,late
30.15,30.39,0.335,1.51E+02,1.29E+02,3.04E+01,2017-6207,412,late
30.63,30.39,0.335,1.08E+02,1.29E+02,3.04E+01,2017-6207,412,late
25.06,25.18,0.174,6.25E+03,5.74E+03,7.16E+02,2017-6278,413,late
25.3,25.18,0.174,5.24E+03,5.74E+03,7.16E+02,2017-6278,413,late
28.14,28.18,0.065,6.86E+02,6.64E+02,3.11E+01,2017-6167,414,late
28.23,28.18,0.065,6.42E+02,6.64E+02,3.11E+01,2017-6167,414,late
31.29,31.41,0.182,7.14E+01,6.53E+01,8.52E+00,2017-6101,415,late
31.54,31.41,0.182,5.93E+01,6.53E+01,8.52E+00,2017-6101,415,late
29.21,29.45,0.345,3.17E+02,2.70E+02,6.63E+01,2017-6200,416,late
29.7,29.45,0.345,2.23E+02,2.70E+02,6.63E+01,2017-6200,416,late
29.01,28.75,0.369,3.65E+02,4.49E+02,1.18E+02,2017-6116,417,late
28.49,28.75,0.369,5.32E+02,4.49E+02,1.18E+02,2017-6116,417,late
28.55,28.69,0.205,5.09E+02,4.61E+02,6.78E+01,2017-6126,418,late
28.84,28.69,0.205,4.14E+02,4.61E+02,6.78E+01,2017-6126,418,late
32.76,32.75,0.008,2.48E+01,2.49E+01,1.42E-01,2017-6113,419,late
32.75,32.75,0.008,2.50E+01,2.49E+01,1.42E-01,2017-6113,419,late
27.42,27.22,0.285,1.15E+03,1.34E+03,2.71E+02,2017-6173,420,late
27.02,27.22,0.285,1.53E+03,1.34E+03,2.71E+02,2017-6173,420,late
29.04,28.83,0.29,3.59E+02,4.20E+02,8.68E+01,2017-6147,421,late
28.63,28.83,0.29,4.82E+02,4.20E+02,8.68E+01,2017-6147,421,late
29.85,30.08,0.325,2.00E+02,1.72E+02,3.98E+01,2017-6189,422,late
30.31,30.08,0.325,1.44E+02,1.72E+02,3.98E+01,2017-6189,422,late
29.91,29.96,0.074,1.92E+02,1.85E+02,9.82E+00,2017-6157,423,late
30.01,29.96,0.074,1.78E+02,1.85E+02,9.82E+00,2017-6157,423,late
29.84,29.96,0.171,2.01E+02,1.85E+02,2.26E+01,2017-6163,424,late
30.09,29.96,0.171,1.69E+02,1.85E+02,2.26E+01,2017-6163,424,late
32.84,33.14,0.429,3.82E+01,3.16E+01,9.20E+00,2017-6203,425,late
33.44,33.14,0.429,2.51E+01,3.16E+01,9.20E+00,2017-6203,425,late
32.37,32.29,0.112,3.03E+01,3.21E+01,2.56E+00,2017-6203,425,late
32.21,32.29,0.112,3.40E+01,3.21E+01,2.56E+00,2017-6203,425,late
32.22,32.23,0.02,5.85E+01,5.79E+01,7.83E-01,2017-6160,426,late
32.24,32.23,0.02,5.74E+01,5.79E+01,7.83E-01,2017-6160,426,late
34.93,34.65,0.395,4.69E+00,5.84E+00,1.63E+00,2017-6171,427,late
34.37,34.65,0.395,6.99E+00,5.84E+00,1.63E+00,2017-6171,427,late
30,30.12,0.181,2.69E+02,2.47E+02,3.07E+01,2017-6198,428,late
30.25,30.12,0.181,2.26E+02,2.47E+02,3.07E+01,2017-6198,428,late
31.21,31.29,0.117,1.17E+02,1.10E+02,8.87E+00,2017-6140,429,late
31.38,31.29,0.117,1.04E+02,1.10E+02,8.87E+00,2017-6140,429,late
29.59,29.69,0.14,3.56E+02,3.33E+02,3.21E+01,2017-6118,430,late
29.79,29.69,0.14,3.10E+02,3.33E+02,3.21E+01,2017-6118,430,late
31.16,31.18,0.022,1.21E+02,1.19E+02,1.79E+00,2017-6187,431,late
31.19,31.18,0.022,1.18E+02,1.19E+02,1.79E+00,2017-6187,431,late
30.81,30.97,0.224,8.94E+01,8.03E+01,1.28E+01,2017-6194,432,late
31.13,30.97,0.224,7.12E+01,8.03E+01,1.28E+01,2017-6194,432,late
30.76,30.78,0.032,1.59E+02,1.57E+02,3.43E+00,2017-6174,433,late
