Sample ID,Run ID,Assay Name,Test Name,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
6279_13_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143406,2019/04/30 14:34:06,82.9,ng/mL,8.29,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,450.12
6102_18_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143412,2019/04/30 14:34:12,44.6,ng/mL,4.46,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,277.76
6112_28_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143419,2019/04/30 14:34:19,204,ng/mL,20.4,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,977.89
6115_33_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143426,2019/04/30 14:34:26,210,ng/mL,21,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1002.39
6124_75_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143433,2019/04/30 14:34:33,329,ng/mL,32.9,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1470.15
6123_82_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143439,2019/04/30 14:34:39,Out of range,ng/mL,Out of range,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,97.79
6101_84_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143449,2019/04/30 14:34:49,347,ng/mL,34.7,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1535.07
6194_98_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143456,2019/04/30 14:34:56,133,ng/mL,13.3,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,675.1
6139_104_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143503,2019/04/30 14:35:03,291,ng/mL,29.1,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1329.21
6271_105_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143510,2019/04/30 14:35:10,426,ng/mL,42.6,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1808.88
6203_113_9,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143516,2019/04/30 14:35:16,381,ng/mL,38.1,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1655.7
