Plot Title: Bashful						
#	"Date Time, GMT-07:00"	"Temp, °C (LGR S/N: 20205051, SEN S/N: 20205051)"	Coupler Detached (LGR S/N: 20205051)	Coupler Attached (LGR S/N: 20205051)	Host Connected (LGR S/N: 20205051)	End Of File (LGR S/N: 20205051)
1	10/30/17 17:00	6.23	Logged			
2	10/30/17 17:15	6.255				
3	10/30/17 17:30	6.255				
4	10/30/17 17:45	6.255				
5	10/30/17 18:00	6.255				
6	10/30/17 18:15	6.255				
7	10/30/17 18:30	6.255				
8	10/30/17 18:45	6.281				
9	10/30/17 19:00	6.281				
10	10/30/17 19:15	6.281				
11	10/30/17 19:30	6.281				
12	10/30/17 19:45	6.306				
13	10/30/17 20:00	6.306				
14	10/30/17 20:15	6.306				
15	10/30/17 20:30	6.306				
16	10/30/17 20:45	6.306				
17	10/30/17 21:00	6.306				
18	10/30/17 21:15	6.306				
19	10/30/17 21:30	6.281				
20	10/30/17 21:45	6.306				
21	10/30/17 22:00	6.306				
22	10/30/17 22:15	6.281				
23	10/30/17 22:30	6.281				
24	10/30/17 22:45	6.281				
25	10/30/17 23:00	6.281				
26	10/30/17 23:15	6.281				
27	10/30/17 23:30	6.255				
28	10/30/17 23:45	6.255				
29	10/31/17 0:00	6.255				
30	10/31/17 0:15	6.23				
31	10/31/17 0:30	6.23				
32	10/31/17 0:45	6.255				
33	10/31/17 1:00	6.255				
34	10/31/17 1:15	6.255				
35	10/31/17 1:30	6.255				
36	10/31/17 1:45	6.255				
37	10/31/17 2:00	6.255				
38	10/31/17 2:15	6.23				
39	10/31/17 2:30	6.23				
40	10/31/17 2:45	6.204				
41	10/31/17 3:00	6.204				
42	10/31/17 3:15	6.204				
43	10/31/17 3:30	6.179				
44	10/31/17 3:45	6.204				
45	10/31/17 4:00	6.204				
46	10/31/17 4:15	6.204				
47	10/31/17 4:30	6.23				
48	10/31/17 4:45	6.23				
49	10/31/17 5:00	6.23				
50	10/31/17 5:15	6.23				
51	10/31/17 5:30	6.23				
52	10/31/17 5:45	6.23				
53	10/31/17 6:00	6.23				
54	10/31/17 6:15	6.255				
55	10/31/17 6:30	6.255				
56	10/31/17 6:45	6.255				
57	10/31/17 7:00	6.281				
58	10/31/17 7:15	6.281				
59	10/31/17 7:30	6.281				
60	10/31/17 7:45	6.281				
61	10/31/17 8:00	6.281				
62	10/31/17 8:15	6.281				
63	10/31/17 8:30	6.281				
64	10/31/17 8:45	6.306				
65	10/31/17 9:00	6.306				
66	10/31/17 9:15	6.306				
67	10/31/17 9:30	6.306				
68	10/31/17 9:45	6.331				
69	10/31/17 10:00	6.306				
70	10/31/17 10:15	6.306				
71	10/31/17 10:30	6.331				
72	10/31/17 10:45	6.331				
73	10/31/17 11:00	6.331				
74	10/31/17 11:15	6.331				
75	10/31/17 11:30	6.331				
76	10/31/17 11:42			Logged	Logged	
77	10/31/17 11:43		Logged			
78	10/31/17 11:45	6.94				
79	10/31/17 12:00	6.357				
80	10/31/17 12:15	6.357				
81	10/31/17 12:30	6.382				
82	10/31/17 12:45	6.408				
83	10/31/17 13:00	6.408				
84	10/31/17 13:15	6.408				
85	10/31/17 13:30	6.433				
86	10/31/17 13:45	6.458				
87	10/31/17 14:00	6.484				
88	10/31/17 14:15	6.509				
89	10/31/17 14:30	6.56				
90	10/31/17 14:45	6.56				
91	10/31/17 15:00	6.585				
92	10/31/17 15:15	6.585				
93	10/31/17 15:30	6.585				
94	10/31/17 15:45	6.611				
95	10/31/17 16:00	6.611				
96	10/31/17 16:15	6.611				
97	10/31/17 16:30	6.585				
98	10/31/17 16:45	6.585				
99	10/31/17 17:00	6.509				
100	10/31/17 17:15	6.56				
101	10/31/17 17:30	6.509				
102	10/31/17 17:45	6.509				
103	10/31/17 18:00	6.509				
104	10/31/17 18:15	6.535				
105	10/31/17 18:30	6.535				
106	10/31/17 18:45	6.458				
107	10/31/17 19:00	6.153				
108	10/31/17 19:15	5.872				
109	10/31/17 19:30	5.77				
110	10/31/17 19:45	5.642				
111	10/31/17 20:00	5.898				
112	10/31/17 20:15	5.872				
113	10/31/17 20:30	5.719				
114	10/31/17 20:45	5.565				
115	10/31/17 21:00	5.514				
116	10/31/17 21:15	5.437				
117	10/31/17 21:30	5.462				
118	10/31/17 21:45	5.385				
119	10/31/17 22:00	5.36				
120	10/31/17 22:15	5.334				
121	10/31/17 22:30	5.308				
122	10/31/17 22:40			Logged	Logged	
123	10/31/17 22:41		Logged			
124	10/31/17 22:45	5.539				
125	10/31/17 23:00	5.231				
126	10/31/17 23:15	5.257				
127	10/31/17 23:30	5.231				
128	10/31/17 23:45	5.231				
129	11/1/17 0:00	5.205				
130	11/1/17 0:15	5.179				
131	11/1/17 0:30	5.179				
132	11/1/17 0:45	5.154				
133	11/1/17 1:00	5.154				
134	11/1/17 1:15	5.102				
135	11/1/17 1:30	5.102				
