"","qseqid","sseqid","evalue","bitscore","staxids","sscinames","scomnames","sskingdoms"
"7","TRINITY_DN21474_c0_g6_i1","gi|89078342|gb|DQ388800.1|",4.79e-25,125,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"9","TRINITY_DN21408_c0_g2_i1","gi|89078342|gb|DQ388800.1|",1.6e-45,194,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"10","TRINITY_DN21408_c0_g1_i2","gi|89078342|gb|DQ388800.1|",5.72e-24,122,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"11","TRINITY_DN21408_c0_g1_i1","gi|89078342|gb|DQ388800.1|",8.98e-35,158,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"12","TRINITY_DN21408_c0_g1_i3","gi|89078342|gb|DQ388800.1|",2.11e-36,163,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"33","TRINITY_DN5603_c0_g1_i1","gi|440548633|gb|JX177504.1|",0,747,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"34","TRINITY_DN5603_c0_g1_i2","gi|440548633|gb|JX177504.1|",0,747,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"77","TRINITY_DN5684_c0_g1_i1","gi|262401308|gb|FJ774836.1|",1.56e-35,163,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"79","TRINITY_DN5686_c0_g2_i5","gi|1338037667|gb|MF973063.1|",2.21e-58,237,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"80","TRINITY_DN5686_c0_g2_i4","gi|1338037667|gb|MF973063.1|",7.71e-48,201,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"81","TRINITY_DN5686_c0_g2_i6","gi|1338037667|gb|MF973063.1|",6.73e-55,226,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"96","TRINITY_DN28785_c0_g1_i1","gi|1238850498|ref|XM_013920380.2|",6.47e-33,152,"6850","Limulus polyphemus","Atlantic horseshoe crab","Eukaryota"
"346","TRINITY_DN12458_c0_g1_i3","gi|298573235|gb|GQ466022.1|",3.02e-32,150,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"349","TRINITY_DN12434_c0_g1_i1","gi|330976880|gb|HQ436508.1|",0,697,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"353","TRINITY_DN12419_c0_g1_i1","gi|530453398|gb|KC020121.1|",3.65e-173,619,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"407","TRINITY_DN4781_c0_g1_i1","gi|260908212|gb|GQ903728.1|",0,962,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"408","TRINITY_DN4781_c0_g1_i6","gi|260908212|gb|GQ903728.1|",0,962,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"411","TRINITY_DN4759_c0_g1_i3","gi|1208038703|gb|KY303919.1|",9.64e-21,113,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"412","TRINITY_DN4759_c0_g1_i3","gi|1208038703|gb|KY303919.1|",9.64e-21,113,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"413","TRINITY_DN4759_c0_g1_i1","gi|1208038703|gb|KY303919.1|",9.95e-21,113,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"414","TRINITY_DN4759_c0_g1_i1","gi|1208038703|gb|KY303919.1|",9.95e-21,113,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"425","TRINITY_DN4707_c1_g2_i1","gi|995975380|gb|KU175340.1|",1.67e-30,145,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"520","TRINITY_DN4705_c0_g2_i1","gi|345452844|gb|HQ260920.1|",0,1088,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"608","TRINITY_DN4710_c0_g1_i4","gi|262401326|gb|FJ774845.1|",9.84e-88,336,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"609","TRINITY_DN4710_c0_g1_i2","gi|262401326|gb|FJ774845.1|",9.84e-88,336,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"610","TRINITY_DN4710_c0_g1_i5","gi|262401326|gb|FJ774845.1|",9.84e-88,336,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"633","TRINITY_DN54066_c0_g1_i1","gi|1108658586|gb|KX016785.1|",7.76e-44,188,"39395","Cancer borealis","Jonah crab","Eukaryota"
"634","TRINITY_DN54049_c0_g1_i1","gi|1269858718|gb|KY356886.1|",1.89e-58,237,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"679","TRINITY_DN57_c0_g1_i10","gi|356483014|emb|HE608876.1|",0,902,"6755","Cancer pagurus","edible crab","Eukaryota"
"680","TRINITY_DN57_c0_g1_i10","gi|356483014|emb|HE608876.1|",0,742,"6755","Cancer pagurus","edible crab","Eukaryota"
"681","TRINITY_DN57_c0_g1_i10","gi|356483014|emb|HE608876.1|",7.14e-166,598,"6755","Cancer pagurus","edible crab","Eukaryota"
"682","TRINITY_DN57_c0_g1_i10","gi|356483014|emb|HE608876.1|",3.7e-144,526,"6755","Cancer pagurus","edible crab","Eukaryota"
"683","TRINITY_DN57_c0_g1_i12","gi|356483014|emb|HE608876.1|",0,1546,"6755","Cancer pagurus","edible crab","Eukaryota"
