target_id,X329777_L2,X329777_L1,X329775_L2,X329775_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN1627_c0_g1_i1,3,2,2,1,NA,NA,sp|Q08ER8|ZN543_HUMAN,Q08ER8,1.42E-28
TRINITY_DN14986_c0_g1_i1,3,1,1,2,NA,NA,sp|G5E8P0|GCP6_MOUSE,G5E8P0,7.94E-23
TRINITY_DN10619_c1_g2_i3,5,5,9,3,4.438849974,0.00251628,sp|Q29RZ4|ZNF2_BOVIN,Q29RZ4,6.06E-39
TRINITY_DN9527_c0_g2_i2,63,17,20,12,6.930942607,8.14E-06,sp|Q9BV94|EDEM2_HUMAN,Q9BV94,0
TRINITY_DN14731_c0_g1_i5,18,15,41,12,6.382786065,1.51E-06,sp|P40818|UBP8_HUMAN,P40818,5.10E-79
TRINITY_DN25973_c0_g1_i3,43,73,85,14,7.771353883,5.99E-08,sp|Q32NW2|LENG8_XENLA,Q32NW2,3.71E-97
TRINITY_DN812_c0_g5_i2,29,25,26,23,6.688062575,1.97E-08,sp|Q6GR45|IF6_XENLA,Q6GR45,9.90E-130
TRINITY_DN1250_c0_g1_i7,58,69,21,24,7.529167535,1.37E-07,sp|Q0MQI4|NDUV1_PONPY,Q0MQI4,0
TRINITY_DN3146_c0_g1_i2,51,76,21,38,7.607608365,2.64E-08,sp|Q9VH08|SIR6_DROME,Q9VH08,1.60E-94
TRINITY_DN598_c0_g1_i5,64,58,149,48,8.271338025,4.65E-11,sp|Q68FD5|CLH1_MOUSE,Q68FD5,0
TRINITY_DN1947_c0_g1_i1,121,168,81,50,8.797501554,7.68E-11,sp|Q7SYR1|OSGEP_XENLA,Q7SYR1,0
TRINITY_DN11002_c0_g1_i6,35,52,88,52,7.766456815,3.15E-11,sp|P37276|DYHC_DROME,P37276,0
TRINITY_DN17165_c0_g1_i4,85,7,35,73,7.632534968,9.93E-07,sp|Q3SZY9|MED6_BOVIN,Q3SZY9,1.70E-69
TRINITY_DN4113_c0_g1_i9,59,44,53,80,7.840716171,5.73E-12,sp|Q4R1I4|OPN4_BRABE,Q4R1I4,1.70E-24
TRINITY_DN2764_c0_g1_i6,13,38,55,82,7.414569055,1.05E-08,sp|Q8K4Z5|SF3A1_MOUSE,Q8K4Z5,3.86E-106
TRINITY_DN2764_c0_g1_i2,53,40,77,84,7.918389156,2.33E-12,sp|Q8K4Z5|SF3A1_MOUSE,Q8K4Z5,3.64E-106
TRINITY_DN10671_c0_g1_i1,37,40,80,89,7.841751669,9.43E-12,sp|Q9VHI4|SF3B5_DROME,Q9VHI4,6.45E-48
TRINITY_DN10892_c0_g1_i6,18,58,74,103,7.857676501,6.88E-10,sp|Q62824|EXOC4_RAT,Q62824,0
TRINITY_DN3747_c2_g1_i11,36,37,114,113,8.090948243,4.96E-11,sp|Q9JHW2|NIT2_MOUSE,Q9JHW2,4.19E-121
TRINITY_DN2000_c2_g1_i2,23,17,107,114,7.838021714,3.01E-08,sp|Q176V0|UFM1_AEDAE,Q176V0,1.07E-48
TRINITY_DN9973_c0_g2_i2,52,45,67,116,8.038643249,3.06E-12,sp|Q5RBR8|IF4H_PONAB,Q5RBR8,1.35E-32
TRINITY_DN2629_c0_g1_i3,13,42,50,117,7.630204867,2.45E-08,sp|Q6NTV6|INF2_XENLA,Q6NTV6,1.03E-67
TRINITY_DN7575_c0_g1_i6,1,5,196,121,8.077547692,1.83E-04,sp|Q8UVK2|SPT6H_DANRE,Q8UVK2,0
TRINITY_DN7707_c0_g1_i8,11,15,119,126,7.855078357,6.99E-07,sp|P33527|MRP1_HUMAN,P33527,0
TRINITY_DN5798_c0_g1_i2,5,8,16,30,5.723412912,3.61E-05,sp|Q6NWF4|VPS25_DANRE,Q6NWF4,2.24E-57
TRINITY_DN32065_c0_g1_i1,3,3,11,10,4.624118799,0.0015638,sp|Q54C16|SGMB_DICDI,Q54C16,1.06E-32
TRINITY_DN20802_c0_g2_i1,4,3,8,5,4.256600916,0.002913809,sp|Q86TW2|ADCK1_HUMAN,Q86TW2,1.09E-48
