V1	V2
1	TRINITY_DN1000_c0_g1_i2	stress response
2	TRINITY_DN1000_c1_g1_i1	stress response
3	TRINITY_DN1000_c1_g1_i1	stress response
4	TRINITY_DN10013_c0_g1_i1	stress response
5	TRINITY_DN10013_c0_g1_i1	stress response
6	TRINITY_DN10013_c0_g1_i2	stress response
7	TRINITY_DN10013_c0_g1_i2	stress response
8	TRINITY_DN10014_c0_g1_i1	stress response
9	TRINITY_DN10031_c0_g1_i2	stress response
10	TRINITY_DN10031_c0_g1_i3	stress response
11	TRINITY_DN10032_c0_g1_i3	stress response
12	TRINITY_DN10032_c0_g1_i3	stress response
13	TRINITY_DN10032_c0_g1_i4	stress response
14	TRINITY_DN10032_c0_g1_i4	stress response
15	TRINITY_DN10032_c0_g1_i5	stress response
16	TRINITY_DN10032_c0_g1_i5	stress response
17	TRINITY_DN10032_c0_g1_i6	stress response
18	TRINITY_DN10032_c0_g1_i6	stress response
19	TRINITY_DN10032_c0_g1_i8	stress response
20	TRINITY_DN10032_c0_g1_i8	stress response
21	TRINITY_DN10034_c0_g1_i2	stress response
22	TRINITY_DN10034_c0_g1_i2	stress response
23	TRINITY_DN10034_c0_g1_i2	stress response
24	TRINITY_DN10034_c0_g1_i2	stress response
25	TRINITY_DN10034_c0_g1_i2	stress response
26	TRINITY_DN10034_c0_g1_i2	stress response
27	TRINITY_DN10039_c0_g1_i1	stress response
28	TRINITY_DN10039_c0_g1_i2	stress response
29	TRINITY_DN10039_c0_g1_i3	stress response
30	TRINITY_DN10044_c0_g1_i1	stress response
31	TRINITY_DN10068_c2_g1_i1	stress response
32	TRINITY_DN10068_c2_g1_i1	stress response
33	TRINITY_DN10068_c2_g1_i1	stress response
34	TRINITY_DN10068_c2_g1_i1	stress response
35	TRINITY_DN1006_c0_g1_i1	stress response
36	TRINITY_DN1006_c0_g1_i1	stress response
37	TRINITY_DN1006_c0_g1_i1	stress response
38	TRINITY_DN1006_c0_g1_i1	stress response
39	TRINITY_DN1006_c0_g1_i1	stress response
40	TRINITY_DN1006_c0_g1_i1	stress response
41	TRINITY_DN1006_c0_g1_i1	stress response
42	TRINITY_DN1006_c0_g1_i1	stress response
43	TRINITY_DN1006_c0_g1_i1	stress response
44	TRINITY_DN1006_c0_g1_i1	stress response
45	TRINITY_DN1006_c0_g1_i1	stress response
46	TRINITY_DN1006_c0_g1_i1	stress response
47	TRINITY_DN1006_c0_g1_i2	stress response
48	TRINITY_DN1006_c0_g1_i2	stress response
49	TRINITY_DN1006_c0_g1_i2	stress response
50	TRINITY_DN1006_c0_g1_i2	stress response
51	TRINITY_DN1006_c0_g1_i2	stress response
52	TRINITY_DN1006_c0_g1_i2	stress response
53	TRINITY_DN1006_c0_g1_i2	stress response
54	TRINITY_DN1006_c0_g1_i2	stress response
55	TRINITY_DN1006_c0_g1_i2	stress response
56	TRINITY_DN1006_c0_g1_i2	stress response
57	TRINITY_DN1006_c0_g1_i2	stress response
58	TRINITY_DN1006_c0_g1_i2	stress response
59	TRINITY_DN1006_c0_g3_i1	stress response
60	TRINITY_DN1006_c0_g3_i1	stress response
61	TRINITY_DN1006_c0_g3_i1	stress response
62	TRINITY_DN1006_c0_g3_i1	stress response
63	TRINITY_DN1006_c0_g3_i1	stress response
64	TRINITY_DN1006_c0_g3_i1	stress response
65	TRINITY_DN1006_c0_g3_i1	stress response
66	TRINITY_DN1006_c0_g3_i1	stress response
67	TRINITY_DN1006_c0_g3_i1	stress response
68	TRINITY_DN1006_c0_g3_i1	stress response
69	TRINITY_DN1006_c0_g3_i1	stress response
70	TRINITY_DN1006_c0_g3_i1	stress response
71	TRINITY_DN10073_c0_g1_i1	stress response
72	TRINITY_DN10073_c0_g1_i1	stress response
73	TRINITY_DN10073_c0_g1_i1	stress response
74	TRINITY_DN10073_c0_g1_i1	stress response
75	TRINITY_DN10073_c0_g1_i1	stress response
76	TRINITY_DN10073_c0_g1_i1	stress response
77	TRINITY_DN10073_c1_g2_i1	stress response
78	TRINITY_DN10073_c1_g3_i1	stress response
79	TRINITY_DN10073_c1_g3_i1	stress response
80	TRINITY_DN10077_c2_g1_i2	stress response
81	TRINITY_DN10078_c0_g2_i2	stress response
82	TRINITY_DN10078_c0_g2_i3	stress response
83	TRINITY_DN10078_c0_g2_i4	stress response
84	TRINITY_DN10078_c0_g2_i7	stress response
85	TRINITY_DN10084_c0_g1_i3	stress response
86	TRINITY_DN10087_c0_g2_i1	stress response
87	TRINITY_DN100_c0_g1_i1	stress response
88	TRINITY_DN100_c0_g1_i3	stress response
89	TRINITY_DN100_c0_g1_i4	stress response
90	TRINITY_DN10102_c0_g1_i5	stress response
91	TRINITY_DN10104_c0_g1_i2	stress response
92	TRINITY_DN10104_c0_g1_i2	stress response
93	TRINITY_DN10104_c0_g1_i2	stress response
94	TRINITY_DN10113_c0_g1_i1	stress response
95	TRINITY_DN10114_c1_g1_i1	stress response
96	TRINITY_DN10114_c1_g3_i1	stress response
97	TRINITY_DN10114_c1_g3_i1	stress response
98	TRINITY_DN10114_c1_g3_i1	stress response
99	TRINITY_DN10114_c1_g3_i1	stress response
100	TRINITY_DN10114_c1_g3_i2	stress response
101	TRINITY_DN10114_c1_g3_i2	stress response
102	TRINITY_DN10114_c1_g3_i3	stress response
103	TRINITY_DN10114_c1_g3_i3	stress response
104	TRINITY_DN10114_c1_g3_i3	stress response
105	TRINITY_DN10114_c1_g3_i3	stress response
106	TRINITY_DN1011_c0_g2_i2	stress response
107	TRINITY_DN1011_c0_g2_i3	stress response
