target_id,up_ID,evalue
TRINITY_DN30057_c0_g1_i1,sp|Q641I1|F135B_XENLA,4.19E-25
TRINITY_DN49483_c0_g1_i1,sp|Q6VH22|IF172_MOUSE,1.09E-41
TRINITY_DN12595_c1_g1_i1,sp|Q29RZ4|ZNF2_BOVIN,1.05E-30
TRINITY_DN1443_c0_g1_i9,sp|Q09JZ4|DAAF1_CHLRE,2.00E-46
TRINITY_DN21139_c0_g2_i2,sp|O94972|TRI37_HUMAN,1.03E-31
TRINITY_DN21619_c0_g2_i1,sp|Q39022|MPK2_ARATH,4.91E-34
TRINITY_DN814_c0_g1_i13,sp|P35684|RL3_ORYSJ,3.02E-161
TRINITY_DN483_c0_g1_i7,sp|Q23716|EF2_CRYPV,0
TRINITY_DN22470_c0_g1_i4,sp|Q70FG7|DODA_BETVU,5.97E-43
TRINITY_DN4139_c0_g1_i2,sp|Q8BRF7|SCFD1_MOUSE,2.75E-100
TRINITY_DN43809_c0_g1_i1,sp|Q8N122|RPTOR_HUMAN,1.40E-40
TRINITY_DN14547_c0_g2_i1,sp|P62343|CDPK1_PLAFK,9.94E-25
TRINITY_DN37039_c0_g3_i1,sp|O88563|MRP3_RAT,2.42E-26
TRINITY_DN59283_c0_g1_i1,sp|Q1LXK4|M10B1_DANRE,2.08E-28
TRINITY_DN28076_c0_g2_i1,sp|Q9SMH5|DYHC2_CHLRE,6.61E-40
TRINITY_DN14584_c0_g3_i1,sp|P23098|DYHC_TRIGR,3.56E-40
TRINITY_DN23152_c0_g1_i1,sp|Q6AYS7|ACY1A_RAT,2.05E-22
TRINITY_DN59347_c0_g1_i1,sp|Q01V13|GLPK_SOLUE,5.61E-31
TRINITY_DN36610_c0_g1_i1,sp|Q45VK7|DYHC2_MOUSE,1.31E-40
TRINITY_DN11135_c0_g1_i5,sp|Q8Q0U0|Y045_METMA,8.67E-23
TRINITY_DN4533_c0_g1_i4,sp|Q9ULJ7|ANR50_HUMAN,2.35E-61
TRINITY_DN6691_c0_g1_i5,sp|Q86AS0|Y4399_DICDI,2.02E-99
TRINITY_DN14031_c0_g1_i3,sp|Q88PP0|HMP_PSEPK,1.65E-49
TRINITY_DN483_c0_g1_i1,sp|Q23716|EF2_CRYPV,0
TRINITY_DN33922_c0_g2_i1,sp|O14349|ISN1_SCHPO,1.23E-22
TRINITY_DN33922_c0_g1_i1,sp|Q6C673|ISN1_YARLI,2.66E-36
TRINITY_DN19194_c0_g1_i1,sp|Q86H13|PDE4_DICDI,1.91E-24
TRINITY_DN58884_c0_g1_i1,sp|Q39575|DYHG_CHLRE,1.82E-55
TRINITY_DN33554_c0_g1_i1,sp|O15865|CDPK2_PLAFK,1.26E-23
TRINITY_DN19203_c0_g1_i1,sp|Q8CGS6|DPOLQ_MOUSE,7.13E-26
TRINITY_DN9674_c0_g1_i4,sp|Q41396|VATE_SPIOL,1.30E-30
TRINITY_DN49920_c0_g1_i1,sp|Q5RDH5|AAPK1_PONAB,8.01E-33
TRINITY_DN24442_c0_g5_i2,sp|Q92887|MRP2_HUMAN,9.07E-40
TRINITY_DN16549_c0_g1_i6,sp|O80952|PGPS1_ARATH,1.64E-26
TRINITY_DN6362_c0_g2_i12,sp|Q8T3X9|ISCA1_DROME,1.53E-31
TRINITY_DN14927_c0_g1_i4,sp|P00565|KCRM_CHICK,5.40E-88
TRINITY_DN19968_c0_g1_i1,sp|Q9ULQ1|TPC1_HUMAN,5.39E-54
TRINITY_DN38504_c0_g1_i1,sp|Q7ZXH1|DHCR7_XENLA,8.29E-24
TRINITY_DN28742_c1_g2_i1,sp|G0S8G9|IF2P_CHATD,5.43E-29
TRINITY_DN25340_c0_g3_i1,sp|Q95ZQ4|AAPK2_CAEEL,4.94E-44
TRINITY_DN36147_c0_g1_i1,sp|Q9VJ79|PDE11_DROME,1.55E-26
TRINITY_DN49965_c0_g1_i1,sp|Q8TD57|DYH3_HUMAN,1.24E-26
TRINITY_DN21471_c0_g2_i1,sp|Q588V7|TEB_ARATH,9.48E-21
TRINITY_DN22112_c0_g4_i1,sp|Q5B4Z3|SEPH_EMENI,5.23E-40
TRINITY_DN5619_c0_g1_i10,sp|P40761|YUXK_BACSU,7.43E-23
TRINITY_DN29922_c0_g1_i1,sp|P05122|KCRB_CHICK,1.78E-39
TRINITY_DN19867_c0_g1_i1,sp|A6H8I2|SGSM3_XENLA,2.26E-22
TRINITY_DN39547_c0_g1_i1,sp|O01775|NEKL2_CAEEL,1.96E-38
TRINITY_DN43219_c0_g1_i1,sp|Q99PV0|PRP8_MOUSE,4.64E-64
TRINITY_DN32674_c0_g1_i1,sp|Q4FUV9|LEPA_PSYA2,1.79E-26
TRINITY_DN26041_c0_g3_i1,sp|P54362|AP3D_DROME,1.06E-38
TRINITY_DN1122_c0_g1_i14,sp|Q9WUU7|CATZ_MOUSE,1.86E-45
TRINITY_DN18530_c1_g1_i1,sp|O59801|SKI2_SCHPO,2.95E-44
TRINITY_DN58765_c0_g1_i1,sp|Q5DM57|IF172_CHLRE,1.83E-22
TRINITY_DN25178_c0_g4_i1,sp|Q923J6|DYH12_RAT,5.34E-31
TRINITY_DN217_c0_g2_i3,sp|Q18885|BTF3_CAEEL,1.51E-42
TRINITY_DN36807_c0_g2_i1,sp|P96111|PYRB_THEMA,1.98E-35
TRINITY_DN9674_c0_g1_i12,sp|Q41396|VATE_SPIOL,6.68E-31
TRINITY_DN45159_c0_g1_i1,sp|Q7RTR2|NLRC3_HUMAN,2.07E-29
TRINITY_DN24461_c0_g1_i4,sp|Q6DEL1|S38A7_DANRE,3.61E-45
TRINITY_DN7783_c0_g4_i1,sp|Q1LZ71|LFG2_BOVIN,1.35E-24
TRINITY_DN48903_c0_g1_i1,sp|Q8VID5|RECQ5_MOUSE,1.64E-30
