Trinity_ID	GO_ID	GOslim	Biological_process
TRINITY_DN9987_c0_g1_i1	GO:0000012	stress response	P
TRINITY_DN1502_c0_g2_i1	GO:0000012	stress response	P
TRINITY_DN12632_c0_g1_i2	GO:0000012	stress response	P
TRINITY_DN3327_c0_g1_i1	GO:0000012	stress response	P
TRINITY_DN14935_c0_g1_i1	GO:0000012	stress response	P
TRINITY_DN841_c1_g1_i1	GO:0000012	stress response	P
TRINITY_DN14797_c0_g1_i1	GO:0000012	stress response	P
TRINITY_DN19984_c0_g1_i1	GO:0000012	stress response	P
TRINITY_DN12670_c0_g1_i3	GO:0000045	stress response	P
TRINITY_DN1359_c0_g1_i3	GO:0000045	stress response	P
TRINITY_DN1972_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN1972_c0_g1_i2	GO:0000045	stress response	P
TRINITY_DN28174_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN10853_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN19987_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN3646_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN8992_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN5132_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN72_c0_g1_i5	GO:0000045	stress response	P
TRINITY_DN1438_c0_g1_i2	GO:0000045	stress response	P
TRINITY_DN1413_c0_g1_i4	GO:0000045	stress response	P
TRINITY_DN5488_c2_g1_i1	GO:0000045	stress response	P
TRINITY_DN5488_c2_g1_i2	GO:0000045	stress response	P
TRINITY_DN1413_c0_g1_i5	GO:0000045	stress response	P
TRINITY_DN22577_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN1445_c1_g1_i3	GO:0000045	stress response	P
TRINITY_DN1438_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN3531_c0_g2_i9	GO:0000045	stress response	P
TRINITY_DN27653_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN659_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN659_c0_g1_i2	GO:0000045	stress response	P
TRINITY_DN314_c0_g2_i1	GO:0000045	stress response	P
TRINITY_DN314_c0_g2_i2	GO:0000045	stress response	P
TRINITY_DN314_c0_g2_i3	GO:0000045	stress response	P
TRINITY_DN314_c0_g2_i4	GO:0000045	stress response	P
TRINITY_DN314_c0_g2_i5	GO:0000045	stress response	P
TRINITY_DN314_c0_g2_i5	GO:0000045	stress response	P
TRINITY_DN3338_c1_g1_i1	GO:0000045	stress response	P
TRINITY_DN808_c1_g1_i3	GO:0000045	stress response	P
TRINITY_DN808_c1_g1_i4	GO:0000045	stress response	P
TRINITY_DN808_c1_g1_i6	GO:0000045	stress response	P
TRINITY_DN1568_c1_g2_i1	GO:0000045	stress response	P
TRINITY_DN2105_c1_g1_i3	GO:0000045	stress response	P
TRINITY_DN2105_c1_g1_i4	GO:0000045	stress response	P
TRINITY_DN2105_c1_g1_i5	GO:0000045	stress response	P
TRINITY_DN10248_c0_g1_i6	GO:0000045	stress response	P
TRINITY_DN10248_c0_g1_i8	GO:0000045	stress response	P
TRINITY_DN20475_c1_g1_i1	GO:0000045	stress response	P
TRINITY_DN23861_c3_g1_i1	GO:0000045	stress response	P
TRINITY_DN24817_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN5587_c1_g1_i1	GO:0000045	stress response	P
TRINITY_DN12530_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN12530_c0_g1_i3	GO:0000045	stress response	P
