Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006396~RNA processing	43	1.9833948339483394	2.2816814074493314E-7	Q9BQA1, Q9H0A0, O94913, O75533, Q9BZE4, Q14690, Q15428, Q9HB90, Q13523, Q08211, O00442, Q8TCS8, Q9BTF0, Q8NI36, Q01780, O60508, Q96SB4, Q8TAD8, Q9NR30, O94906, Q8N8A6, Q8WYA6, Q9UKD2, O00567, Q9BZJ0, Q7Z6E9, Q6PIY7, Q13435, Q14147, Q96DI7, Q9UNY4, Q9UJK0, Q15024, O14717, Q9Y388, Q6IN84, Q15393, Q53GS9, Q9Y3B2, Q6NXG1, Q15696, Q05048, Q14562	331	910	16792	2.397184688423359	8.817091984458791E-4	8.817091984458791E-4	4.224561667487414E-4
GOTERM_BP_ALL	GO:0016071~mRNA metabolic process	33	1.522140221402214	3.6573668794877505E-6	O75175, Q9BQA1, O94913, O75533, Q14690, Q15428, Q13315, A5YKK6, Q13523, Q08211, Q8TCS8, Q01780, O60508, Q96SB4, O94906, Q8WYA6, Q9UKD2, Q9BZJ0, Q7Z6E9, Q6PIY7, Q13435, Q14147, Q96DI7, Q9UNY4, Q15024, Q9Y388, Q15393, Q53GS9, Q9Y3B2, Q6NXG1, Q14562, Q05048, Q15696	331	672	16792	2.4912602503236942	0.014039914279441068	0.007044771542765393	0.006771457169285622
GOTERM_BP_ALL	GO:0006725~cellular aromatic compound metabolic process	157	7.24169741697417	6.240132748319138E-6	Q9ULG1, Q9H0A0, Q12904, Q9H3S4, P49916, P20794, A5YKK6, Q8N587, P80404, O14981, Q9BTF0, P09417, O60508, Q12986, Q9Y4A5, Q96SB4, Q9H9Y6, Q5SVZ6, Q99828, Q9NWT6, Q5VUG0, Q8WYA6, O00567, Q93008, Q6N069, Q96GN5, P51523, O75897, Q2KHR2, Q7Z6E9, Q9P2E3, Q96MN5, O14717, Q7Z4W1, Q53GS9, P10323, O14647, Q15262, Q86WA6, Q92793, P09622, O95243, Q13315, Q8TCS8, P42345, Q9NVM9, Q969H0, Q5CZA5, Q92616, Q8N8A6, Q92890, Q9BQ70, O60264, Q9UKD2, Q9BR84, Q13435, Q14147, P0CB33, P51580, Q9UJK0, O75808, O14733, Q14562, Q15696, Q05048, Q9BQA1, O94913, Q9BZE4, Q15428, P42568, Q08ER8, Q06730, Q13523, O00442, Q08211, Q9NS86, Q06732, Q9Y4E8, Q8NI36, Q01780, Q9UGP5, Q13619, Q9NR48, Q7Z494, Q14584, Q16875, O95619, Q9BX82, O94906, Q9NSI6, Q9NXP7, Q7Z340, Q16587, Q96N38, Q6PIY7, P17032, Q96IC2, Q96DI7, Q53FA7, Q8N9F8, Q9UBS8, P23919, Q9UNY4, Q15024, Q9P2J5, Q9Y388, Q15393, Q8N5Z0, Q9Y3B2, Q6NXG1, O75925, Q9BYW2, O75175, Q9NPI5, O94874, Q14590, Q15937, Q9Y295, O75533, P0DKX0, O75437, Q14690, Q9H3L0, Q9HB90, Q6ZMW2, Q9BZC7, Q96KQ7, P29375, Q6IA86, O95714, Q9NR30, Q8TAD8, Q8N653, Q9UBE8, Q9H2X6, P51814, Q9NUW8, Q86TJ5, Q7Z6Z7, Q9Y2Q1, Q16566, Q8N1B3, Q9BZJ0, O95271, Q14181, O43296, O14980, Q6IN84, Q96SE7, P51815, Q8N328, P43246, P35658, Q9UKK9, O00233, O75832, Q32M78	331	5965	16792	1.3352532269051844	0.023835760426628383	0.008009229982386179	0.011553075558978776
GOTERM_BP_ALL	GO:0046483~heterocycle metabolic process	156	7.195571955719557	6.389698807808854E-6	Q9ULG1, Q9H0A0, Q12904, Q9H3S4, P49916, P20794, A5YKK6, Q8N587, O14981, Q9BTF0, P09417, O60508, Q12986, Q9Y4A5, Q96SB4, Q9H9Y6, Q5SVZ6, Q99828, Q9NWT6, Q5VUG0, Q8WYA6, O00567, Q93008, Q6N069, Q96GN5, P51523, O75897, Q2KHR2, Q7Z6E9, Q9P2E3, Q96MN5, O14717, Q7Z4W1, Q53GS9, P10323, O14647, Q15262, Q86WA6, Q92793, P09622, O95243, Q13315, Q8TCS8, P42345, Q9NVM9, Q969H0, Q5CZA5, Q92616, Q8N8A6, Q92890, Q9BQ70, O60264, Q9UKD2, Q9BR84, Q13435, Q14147, P0CB33, P51580, Q9UJK0, O75808, O14733, Q14562, Q15696, Q05048, Q9BQA1, O94913, Q9BZE4, Q15428, P42568, Q08ER8, Q06730, Q13523, O00442, Q08211, Q9NS86, Q06732, Q9Y4E8, Q8NI36, Q01780, Q9UGP5, Q13619, Q9NR48, Q7Z494, Q14584, Q16875, O95619, Q9BX82, O94906, Q9NSI6, Q9NXP7, Q7Z340, Q16587, Q96N38, Q6PIY7, P17032, Q96IC2, Q96DI7, Q53FA7, Q8N9F8, Q9UBS8, P23919, Q9UNY4, Q15024, Q9P2J5, Q9Y388, Q15393, Q8N5Z0, Q9Y3B2, Q6NXG1, O75925, Q9BYW2, O75175, Q9NPI5, O94874, Q14590, Q15937, Q9Y295, O75533, P0DKX0, O75437, Q14690, Q9H3L0, Q9HB90, Q6ZMW2, Q9BZC7, Q96KQ7, P29375, Q6IA86, O95714, Q9NR30, Q8TAD8, Q8N653, Q9UBE8, Q9H2X6, P51814, Q9NUW8, Q86TJ5, Q7Z6Z7, Q9Y2Q1, Q16566, Q8N1B3, Q9BZJ0, O95271, Q14181, O43296, O14980, Q6IN84, P51815, Q8N328, Q96SE7, P43246, P35658, Q9UKK9, O00233, O75832, Q32M78	331	5919	16792	1.3370593648698517	0.024400040850404814	0.006156633412379819	0.011829968914456312
GOTERM_BP_ALL	GO:0090304~nucleic acid metabolic process	140	6.4575645756457565	6.440656579487302E-6	Q9ULG1, Q9H0A0, Q12904, P49916, P20794, A5YKK6, Q8N587, O14981, Q9BTF0, O60508, Q12986, Q9Y4A5, Q96SB4, Q9H9Y6, Q5SVZ6, Q99828, Q9NWT6, Q5VUG0, Q8WYA6, O00567, Q93008, Q6N069, Q96GN5, P51523, Q2KHR2, Q7Z6E9, Q9P2E3, Q96MN5, O14717, Q53GS9, O14647, Q15262, Q92793, O95243, Q13315, Q8TCS8, P42345, Q9NVM9, Q969H0, Q5CZA5, Q92616, Q8N8A6, Q92890, Q9BQ70, O60264, Q9UKD2, Q9BR84, Q13435, Q14147, P0CB33, Q9UJK0, O75808, O14733, Q14562, Q15696, Q05048, Q9BQA1, O94913, Q9BZE4, Q15428, P42568, Q08ER8, Q06730, Q13523, O00442, Q08211, Q9NS86, Q06732, Q9Y4E8, Q8NI36, Q01780, Q9UGP5, Q13619, Q9NR48, Q14584, O95619, Q9BX82, O94906, Q9NSI6, Q9NXP7, Q16587, Q7Z340, Q96N38, Q6PIY7, P17032, Q96IC2, Q96DI7, Q9UNY4, Q9UBS8, Q8N9F8, Q15024, Q9P2J5, Q9Y388, Q15393, Q9Y3B2, Q6NXG1, O75925, Q9BYW2, O75175, O94874, Q14590, Q15937, Q9Y295, O75533, P0DKX0, O75437, Q14690, Q9HB90, Q6ZMW2, Q9BZC7, Q96KQ7, P29375, Q6IA86, O95714, Q8TAD8, Q9NR30, Q8N653, Q9UBE8, Q9H2X6, P51814, Q9NUW8, Q86TJ5, Q7Z6Z7, Q9Y2Q1, Q16566, Q8N1B3, Q9BZJ0, O95271, Q14181, O43296, O14980, Q6IN84, P51815, Q8N328, Q96SE7, P43246, P35658, O00233, O75832, Q32M78	331	5158	16792	1.3769593826033886	0.02459221902306652	0.004967552402303621	0.011924307453903271
GOTERM_BP_ALL	GO:0022613~ribonucleoprotein complex biogenesis	26	1.1992619926199262	9.913538348642286E-6	Q9BQA1, Q9NR30, Q9H0A0, O94906, O75533, Q8N8A6, O00567, Q9UKD2, Q9BZE4, Q9NVX2, Q14690, Q9BZJ0, Q15428, Q13315, A5YKK6, Q9UJK0, Q15024, O14980, Q8NI36, Q01780, O60508, Q6IN84, Q53GS9, Q9NVU7, Q9Y3B2, Q15696	331	480	16792	2.7479355488418933	0.037600784266556886	0.006367297173178743	0.018353483465527454
GOTERM_BP_ALL	GO:0016070~RNA metabolic process	128	5.904059040590406	1.1271074174441015E-5	Q9H0A0, Q9ULG1, Q12904, P49916, P20794, A5YKK6, Q8N587, O14981, Q9BTF0, O60508, Q12986, Q9Y4A5, Q96SB4, Q9H9Y6, Q5SVZ6, Q99828, Q9NWT6, Q5VUG0, Q8WYA6, O00567, Q93008, Q6N069, Q96GN5, P51523, Q2KHR2, Q7Z6E9, Q9P2E3, Q96MN5, O14717, Q53GS9, O14647, Q15262, Q92793, Q13315, Q8TCS8, P42345, Q9NVM9, Q969H0, Q5CZA5, Q92616, Q8N8A6, Q9BQ70, O60264, Q9UKD2, Q9BR84, Q13435, Q14147, P0CB33, Q9UJK0, O75808, Q14562, Q15696, Q05048, Q9BQA1, O94913, Q9BZE4, Q15428, P42568, Q06730, Q08ER8, Q13523, O00442, Q08211, Q9NS86, Q06732, Q9Y4E8, Q8NI36, Q01780, Q9NR48, Q14584, O95619, Q9BX82, O94906, Q9NSI6, Q16587, Q7Z340, Q96N38, Q6PIY7, P17032, Q96DI7, Q9UNY4, Q9UBS8, Q8N9F8, Q15024, Q9P2J5, Q9Y388, Q15393, Q9Y3B2, Q6NXG1, O75925, Q9BYW2, O75175, O94874, Q14590, Q15937, Q9Y295, O75533, P0DKX0, O75437, Q14690, Q9HB90, Q6ZMW2, Q9BZC7, Q96KQ7, P29375, Q6IA86, Q8TAD8, Q9NR30, Q8N653, Q9UBE8, Q9H2X6, P51814, Q86TJ5, Q9Y2Q1, Q16566, Q8N1B3, Q9BZJ0, O95271, O43296, O14980, Q6IN84, P51815, Q8N328, Q96SE7, P35658, O00233, O75832, Q32M78	331	4648	16792	1.3970703703896292	0.042638502310618054	0.00620555385359689	0.02086651677258855
GOTERM_BP_ALL	GO:0010467~gene expression	142	6.549815498154982	1.1587086633829989E-5	Q9ULG1, Q9H0A0, Q12904, P20794, A5YKK6, Q8N587, O14981, Q9BTF0, O60508, Q12986, P22694, Q9Y4A5, Q96SB4, Q9H9Y6, Q5SVZ6, Q99828, Q9NWT6, Q9Y5N5, Q5VUG0, Q8WYA6, O00567, Q93008, Q6N069, Q96GN5, P51523, Q2KHR2, Q7Z6E9, Q9P2E3, Q96MN5, O14717, Q53GS9, O14647, Q15262, P51512, Q92793, Q13315, Q8TCS8, P42345, Q9NVM9, Q969H0, Q5CZA5, Q92616, Q8N8A6, Q9BQ70, O60264, Q9UKD2, Q9BR84, Q13435, Q14147, P0CB33, Q9UJK0, Q96LU5, Q99797, O75808, Q14562, Q15696, Q05048, Q9BQA1, O94913, P49366, Q9BZE4, Q01484, Q15428, P42568, Q06730, Q08ER8, Q13523, O00442, Q08211, Q9NS86, Q06732, Q9Y4E8, Q8NI36, Q01780, O43808, Q9NR48, Q14584, Q9Y4W6, O95619, Q9BX82, O94906, Q9NSI6, Q16587, Q7Z340, Q96N38, Q6PIY7, P17032, Q96DI7, Q12955, Q9UNY4, Q9UBS8, Q8N9F8, Q15024, Q9P2J5, Q9Y388, Q8TCT9, Q15393, Q9Y450, Q9Y3B2, Q6NXG1, O75925, Q9BYW2, O75175, O94874, Q14590, Q15937, Q9Y295, Q15349, O75533, P0DKX0, O75437, Q14690, Q9HB90, Q6ZMW2, Q9BZC7, Q96KQ7, Q92542, P29375, Q6IA86, O75844, Q8TAD8, Q9NR30, Q8N653, Q9UBE8, Q9H2X6, P51814, Q86TJ5, Q9Y2Q1, Q16566, Q8N1B3, Q9BZJ0, O95271, O43296, O14980, Q6IN84, P51815, Q8N328, Q96SE7, P35658, O00233, O75832, Q32M78	331	5306	16792	1.3576740918050934	0.043807414024788494	0.005583844121574866	0.021451501847469245
GOTERM_BP_ALL	GO:0006139~nucleobase-containing compound metabolic process	152	7.011070110701106	1.3012599947495295E-5	Q9ULG1, Q9H0A0, Q12904, P49916, P20794, A5YKK6, Q8N587, O14981, Q9BTF0, O60508, Q12986, Q9Y4A5, Q96SB4, Q9H9Y6, Q5SVZ6, Q99828, Q9NWT6, Q5VUG0, Q8WYA6, O00567, Q93008, Q6N069, Q96GN5, P51523, O75897, Q2KHR2, Q7Z6E9, Q9P2E3, Q96MN5, O14717, Q7Z4W1, Q53GS9, P10323, O14647, Q15262, Q86WA6, Q92793, P09622, O95243, Q13315, Q8TCS8, P42345, Q9NVM9, Q969H0, Q5CZA5, Q92616, Q8N8A6, Q92890, Q9BQ70, O60264, Q9UKD2, Q9BR84, Q13435, Q14147, P0CB33, P51580, Q9UJK0, O75808, O14733, Q14562, Q15696, Q05048, Q9BQA1, O94913, Q9BZE4, Q15428, P42568, Q08ER8, Q06730, Q13523, O00442, Q08211, Q9NS86, Q06732, Q9Y4E8, Q8NI36, Q01780, Q9UGP5, Q13619, Q9NR48, Q7Z494, Q14584, Q16875, O95619, Q9BX82, O94906, Q9NSI6, Q9NXP7, Q7Z340, Q16587, Q96N38, Q6PIY7, P17032, Q96IC2, Q96DI7, Q53FA7, Q8N9F8, P23919, Q9UNY4, Q9UBS8, Q15024, Q9P2J5, Q9Y388, Q15393, Q9Y3B2, Q6NXG1, O75925, Q9BYW2, O75175, Q9NPI5, O94874, Q14590, Q15937, Q9Y295, O75533, P0DKX0, O75437, Q14690, Q9HB90, Q6ZMW2, Q9BZC7, Q96KQ7, P29375, Q6IA86, O95714, Q9NR30, Q8TAD8, Q8N653, Q9UBE8, Q9H2X6, P51814, Q9NUW8, Q86TJ5, Q7Z6Z7, Q9Y2Q1, Q16566, Q8N1B3, Q9BZJ0, O95271, Q14181, O43296, O14980, Q6IN84, P51815, Q8N328, Q96SE7, P43246, P35658, Q9UKK9, O00233, O75832, Q32M78	331	5794	16792	1.3308819311987503	0.0490625949220308	0.005574077824086476	0.024090294304113247
GOTERM_BP_ALL	GO:0043170~macromolecule metabolic process	218	10.055350553505535	1.4493367878645845E-5	P46940, Q9H0A0, Q9ULG1, O75962, Q8N587, O14981, O60508, Q9UHL4, Q12986, P22694, Q9Y4A5, Q96SB4, Q9H9Y6, P98164, Q9NWT6, Q5VUG0, Q9HC07, Q6P3R8, Q6Y288, Q7Z6E9, Q96GG9, Q9P2E3, Q96MN5, Q96PQ7, Q8IVH8, P53634, Q86WA6, O15484, Q92793, O95243, Q13315, Q9NRH2, Q9NVM9, Q969H0, Q7Z4T8, O75385, P19174, Q8N8A6, Q13976, Q9UKD2, Q9BR84, Q9BQ70, Q13435, Q9BZF1, O95630, Q99797, Q9BUN8, O95427, Q8IUC8, P49366, Q01484, Q15428, Q6ZT12, Q06730, Q13523, O00442, Q06732, Q9NS86, Q9Y4E8, Q01780, Q9UGP5, Q9NR48, Q14584, O95619, Q9NSI6, Q7Z340, Q9NXP7, Q8NDX5, Q96DI7, Q12955, Q15024, Q8NFA0, Q9Y450, Q9Y3B2, Q6NXG1, O75175, O95405, Q8NHH1, O94874, Q8N5J2, Q14590, Q15937, Q6ZN16, Q3T906, P39060, Q15349, Q9UQB9, O75437, Q14690, Q5T5C0, O95714, O75844, Q9NR30, Q9H2X6, P51814, Q86TJ5, Q9Y2Q1, P39059, Q9BZJ0, Q14181, P51815, P51817, P43246, O75832, Q9H1A4, Q12904, P36406, Q92729, P49916, Q8WUA2, P20794, A5YKK6, Q9BTF0, Q5SVZ6, Q99828, Q9H1B5, Q9Y5N5, O60285, Q8WYA6, O00567, Q93008, Q6N069, P51523, Q96GN5, P40818, Q2KHR2, O14717, O15118, Q53GS9, P10323, O14647, Q15262, P51512, P09622, Q9Y251, Q9NVX2, P22105, Q8TCS8, P42345, Q5CZA5, Q92616, Q8IZN3, Q92890, O60264, Q14147, P0CB33, Q9UJK0, Q96LU5, O75808, O14733, Q15696, Q14562, Q05048, Q9BQA1, O94913, Q6ICB0, Q93034, Q9BZE4, P42568, Q08ER8, Q08211, Q00537, Q8NI36, Q8IXM2, Q13619, O43808, Q9NYG2, Q9Y4W6, Q9BX82, O94906, Q16587, O75663, Q96N38, Q6PIY7, Q96IC2, P17032, Q8N9F8, Q9UNY4, Q9UBS8, Q9P2J5, Q9Y388, Q8TCT9, Q15393, Q9H8V3, O75925, Q9BYW2, Q9Y295, Q8WUJ0, O75533, P0DKX0, Q6ZMW2, Q9HB90, Q9BZC7, Q96KQ7, Q92542, P29375, Q6IA86, Q8TAD8, Q86YT6, P37287, Q8N653, Q9UBE8, Q9NUW8, Q8N465, Q13177, Q7Z6Z7, Q16566, Q8N1B3, O95271, O43296, O14980, Q6IN84, Q96SE7, Q8N328, P35658, Q9UKK9, O00233, Q32M78	331	9130	16792	1.2113235143264627	0.05449089987856903	0.005587508110416417	0.026831299777263506
