Trinity_protein	sseqid.x	evalue.x
TRINITY_DN21464_c0_g1_i1	sp|Q08D64|ABCB6_XENTR	0
TRINITY_DN21426_c0_g2_i1	sp|Q0JL73|RH26_ORYSJ	7.26e-75
TRINITY_DN21474_c0_g1_i1	sp|Q32HN5|GHRA_SHIDS	8.76e-41
TRINITY_DN21474_c1_g1_i1	sp|Q9D4F8|GCP4_MOUSE	1.57e-74
TRINITY_DN21493_c0_g2_i4	sp|Q03278|PO21_NASVI	5.87e-05
TRINITY_DN21493_c0_g2_i5	sp|Q03278|PO21_NASVI	5.57e-05
TRINITY_DN21493_c0_g2_i3	sp|Q03278|PO21_NASVI	0.000259
TRINITY_DN21403_c0_g1_i1	sp|Q500Z2|ZDH20_ARATH	2.51e-27
TRINITY_DN21403_c0_g1_i2	sp|Q500Z2|ZDH20_ARATH	1.7e-27
TRINITY_DN21471_c0_g2_i1	sp|Q588V7|TEB_ARATH	9.55e-21
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	0.005
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	0.03
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	0.092
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	0.19
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	0.26
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	1.7
TRINITY_DN21468_c0_g1_i8	sp|Q9URU4|PFL5_SCHPO	7.1
TRINITY_DN21468_c0_g1_i9	sp|Q874R4|PFL3_SCHPO	0.003
TRINITY_DN21468_c0_g1_i9	sp|Q874R4|PFL3_SCHPO	0.004
TRINITY_DN21468_c0_g1_i9	sp|Q874R4|PFL3_SCHPO	0.01
TRINITY_DN21468_c0_g1_i9	sp|Q874R4|PFL3_SCHPO	0.094
TRINITY_DN21468_c0_g1_i9	sp|Q874R4|PFL3_SCHPO	0.37
TRINITY_DN21468_c0_g1_i12	sp|Q874R4|PFL3_SCHPO	0.000174
TRINITY_DN21468_c0_g1_i12	sp|Q874R4|PFL3_SCHPO	0.000719
TRINITY_DN21468_c0_g1_i12	sp|Q874R4|PFL3_SCHPO	0.019
TRINITY_DN21466_c0_g2_i1	sp|Q7N7B3|Y1242_PHOLL	1.3
TRINITY_DN21466_c0_g1_i1	sp|P36209|STS1_SCHPO	0.86
TRINITY_DN21497_c0_g1_i2	sp|Q6DN14|MCTP1_HUMAN	8.36e-10
TRINITY_DN21497_c0_g1_i2	sp|Q6DN14|MCTP1_HUMAN	0.00013
TRINITY_DN21497_c0_g1_i2	sp|Q6DN14|MCTP1_HUMAN	0.000539
TRINITY_DN21497_c0_g1_i1	sp|Q6DN14|MCTP1_HUMAN	1.22e-09
TRINITY_DN21497_c0_g1_i1	sp|Q6DN14|MCTP1_HUMAN	0.00018
TRINITY_DN21497_c0_g1_i1	sp|Q6DN14|MCTP1_HUMAN	0.000745
