target_id,X329775_L2,X329775_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN5630_c0_g1_i4,1,1,-6.881885616,3.54E-08,sp|Q2SHM3|PHNW_HAHCH,Q2SHM3,1.89E-106
TRINITY_DN3877_c0_g1_i12,1,1,-7.342977283,0.007146657,sp|Q9ES70|NEK6_MOUSE,Q9ES70,3.66E-63
TRINITY_DN43387_c0_g1_i1,1,1,-7.518056789,2.35E-09,sp|Q29449|AT8A1_BOVIN,Q29449,1.29E-84
TRINITY_DN17032_c0_g1_i2,1,1,NA,NA,sp|Q92193|ACT_CRAVI,Q92193,3.35E-42
TRINITY_DN17022_c0_g1_i4,1,1,-7.486051255,6.69E-09,sp|Q9ULJ7|ANR50_HUMAN,Q9ULJ7,5.84E-48
TRINITY_DN1136_c0_g1_i6,1,1,-7.551935031,1.35E-08,sp|O59922|KAPR_EMENI,O59922,2.11E-41
TRINITY_DN25392_c1_g1_i2,1,1,-7.408352077,1.32E-11,sp|Q9V6U8|UBA3_DROME,Q9V6U8,4.55E-129
TRINITY_DN58996_c0_g1_i1,1,1,-6.877819359,2.07E-08,sp|P31320|KAPR_BLAEM,P31320,1.61E-67
TRINITY_DN15445_c0_g2_i9,1,1,-5.954995845,3.23E-07,sp|P11707|CP3A6_RABIT,P11707,1.97E-35
TRINITY_DN4241_c1_g2_i6,1,1,NA,NA,sp|Q6PBU5|GRT1A_DANRE,Q6PBU5,2.98E-29
TRINITY_DN4219_c0_g2_i1,1,1,-7.212632407,2.34E-09,sp|O48709|PI5K3_ARATH,O48709,3.50E-21
TRINITY_DN4232_c0_g1_i3,1,1,-7.709567292,5.37E-11,sp|P46870|KLP1_CHLRE,P46870,1.89E-24
TRINITY_DN55446_c0_g1_i1,1,1,NA,NA,sp|Q3TY86|AIFM3_MOUSE,Q3TY86,1.74E-26
TRINITY_DN54737_c0_g1_i1,1,1,NA,NA,sp|Q4V862|CDK9A_XENLA,Q4V862,5.62E-50
TRINITY_DN19312_c0_g2_i1,1,1,-7.318203805,2.31E-11,sp|Q07W34|HUTI_SHEFN,Q07W34,1.09E-92
TRINITY_DN20299_c0_g1_i1,1,1,-9.015704472,1.63E-15,sp|P70388|RAD50_MOUSE,P70388,3.06E-65
TRINITY_DN11211_c0_g1_i1,1,1,-8.247054653,3.83E-13,sp|Q6L482|P2C48_ORYSJ,Q6L482,1.35E-21
TRINITY_DN5485_c1_g1_i7,1,1,NA,NA,sp|Q6FRC6|NTF2_CANGA,Q6FRC6,2.18E-27
TRINITY_DN35840_c0_g1_i1,1,1,NA,NA,sp|O75663|TIPRL_HUMAN,O75663,8.35E-25
TRINITY_DN35863_c0_g1_i1,1,1,-5.214481661,1.85E-04,sp|Q09296|CBPC6_CAEEL,Q09296,2.96E-48
TRINITY_DN61082_c0_g1_i1,1,1,NA,NA,sp|Q925U4|EDEM1_MOUSE,Q925U4,4.34E-33
TRINITY_DN26753_c0_g1_i1,1,1,-6.153486772,3.03E-08,sp|Q9SRZ0|CUL2_ARATH,Q9SRZ0,1.62E-29
TRINITY_DN26743_c0_g1_i1,1,1,-6.49390215,1.68E-08,sp|Q55B10|AGAL_DICDI,Q55B10,7.86E-61
TRINITY_DN10460_c0_g1_i2,1,1,-8.198567558,2.37E-12,sp|P90587|WD66_PHYPO,P90587,1.43E-86
TRINITY_DN26843_c0_g1_i1,1,1,NA,NA,sp|Q54JL3|FTCD_DICDI,Q54JL3,1.78E-23
TRINITY_DN3615_c0_g1_i2,1,1,-9.274566892,7.93E-18,sp|Q16566|KCC4_HUMAN,Q16566,1.56E-33
TRINITY_DN2796_c0_g1_i2,1,1,-5.856138459,3.38E-04,sp|Q184M8|PIP_PEPD6,Q184M8,4.77E-34
TRINITY_DN2739_c0_g1_i5,1,1,-6.41035952,3.62E-05,sp|Q556Y9|MD2L1_DICDI,Q556Y9,1.41E-40
TRINITY_DN49482_c0_g1_i1,1,1,-5.310407848,3.09E-06,sp|Q9VCA8|ANKHM_DROME,Q9VCA8,2.08E-24
TRINITY_DN15078_c1_g1_i2,1,1,-7.424659649,1.56E-08,sp|Q32TF8|EFHC2_DANRE,Q32TF8,9.04E-57
TRINITY_DN48767_c0_g1_i1,1,1,-7.000217574,1.41E-10,sp|P80405|MTHFS_RABIT,P80405,4.36E-34
